ID,genomeSize,genome
16598345,30,000000010001100010000000000000
16599812,30,000000000000000000000000100000
16601459,30,000000000000100000000010000000
16601460,30,000010000000100000000000000000
16601463,30,100001010000000000000010100000
16601465,30,000010000000100000000000000000
16603153,30,100001010000000000000010100000
16603155,30,000000010001100000000000000000
16603158,30,000000010001100000000000000000
16603159,30,000000010001100010000000000000
16603160,30,000000010001100000000000000000
16603165,30,000000000000000000000000000000
16603167,30,000000010001100010000000000000
16603168,30,000000000000000000000000000000
16603170,30,000010000000100000000010000000
16603174,30,000000010001100000000000000000
16605144,30,000010000000100000000000000000
16605149,30,000010000000100000000000000000
16605151,30,000000000000100000000000000000
16605153,30,000010000000000001000000000000
16605155,30,000000010001100000000000101000
16606753,30,000000010001100000000000000000
16606754,30,000000000000100000000010010000
16606755,30,000010000000100000000000000000
16606758,30,000010000000100000000000000000
16606759,30,000010000000100000000000000000
16606762,30,000000010001100000000000000000
16608226,30,000000010001100000000000000000
16608229,30,000000000000100000000010000000
16608230,30,000000010000100000000100000000
16608234,30,000000000000000000000000100000
16608239,30,000000000000000000000000000000
16609877,30,000000010001100000000000000000
16609878,30,000000010001100000000000000000
16609879,30,000000000000000000000000000000
16609881,30,000000010001100000000000000000
16609882,30,000000010001100000000000000000
16609883,30,000000010001100000000000000000
16609888,30,000000010001100000000000000000
16609889,30,000000000000100000000010000000
16609890,30,000000000000100000000000000000
16611280,30,000000010001100000000000000000
16611281,30,000010000000000001000000000000
16611282,30,000000010001100000000000000000
16611283,30,000000010001100000000000000000
16611285,30,000010000000100000000000000000
16611286,30,000010000000100000000000000000
16611288,30,000010000000100000000010000000
16611289,30,000000010011100000000000000000
16611291,30,000000000000100000000010010000
16611292,30,000010000000100000000000000000
16611293,30,000000000000000000000000000000
16612987,30,000000000011100000000000000000
16612989,30,000000000000100000000000000000
16612991,30,000000000000000000000000000000
16612992,30,000010000000100001000000000000
16612994,30,000000000000000000000000000000
16612996,30,000010000000000001000000000000
16612997,30,000010000000100000000000000000
16612998,30,000000000000100000000000000000
16613001,30,000000000000000000000000000000
16613002,30,000000000000100000000000000000
16613003,30,000000000000100000000000000000
16613004,30,000000010001100000000000000000
16613005,30,000000010001100010000000000000
16613006,30,000000000000000000000000100000
16613007,30,000000000000000000000000000000
16614540,30,000010000000100000000000000000
16614541,30,000000010001101000000000000000
16614542,30,000000010001100000000000000000
16614543,30,000000010001100000000000000000
16614544,30,000000010001100000000000000000
16614545,30,000000000000100000000000000000
16614546,30,000000000000000000000000000000
16614549,30,000110000000100000000000000000
16614550,30,000000010001100000000000000000
16614553,30,000000010001100000000000000000
16614554,30,100000010001100000000100000000
16614555,30,000000010000100000000100000000
16614557,30,100000010001100000000100000000
16614558,30,000000000000000000000000000000
16614559,30,000000010001100000000000000000
16616321,30,100000010001100000000100000000
16616322,30,000000000000100000000000000000
16616323,30,000010000000100000000000000000
16616325,30,000000010001100000000000000000
16616326,30,000000000000100000000000000000
16616329,30,000010000000100000000000000000
16616330,30,000000000000100000000000000000
16616331,30,000000010001100000000000000000
16616332,30,000000010011100000000000000000
16616334,30,000000000011100000000000000000
16616336,30,100000010001100000000100000000
16617929,30,000000010011100000000000000000
16617931,30,000000000000100000000000000000
16617932,30,000010000000100000000000000000
16617933,30,100001010000000000000010100000
16617935,30,000010000000100000000000000000
16617937,30,000000000000100000000000000000
16617939,30,000000010001100000100000000000
16617940,30,000000010001100000000000000000
16617942,30,100000010001100000000100000000
16617943,30,000000000000100000000010000000
16617944,30,000000010011100000000000000000
16617946,30,000000010001100000000000000000
16617947,30,000010000000100000000000000000
16617950,30,100000010001100000000100000000
16619716,30,100000010001100000000100000000
