ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
16572262,43,0000110000000000000000000000000000000100001,16582412,0,0.060000,0.600000
16572269,53,00010000000010010000010000000000000000000000001100101,16572160,0,0.070000,0.700000
16572277,45,100010000000000000000000000000000000000001111,16573623,0,0.080000,0.800000
16572330,53,10001000000001001000000000000000000000000100001110010,16595711,0,0.160000,0.800000
16572331,44,00000100000000000100000000001000000000100001,16579102,0,0.040000,0.600000
16572340,41,11000000000000100000000000000010001110000,16604030,0,0.040000,0.500000
16572362,39,110000000000000000000000000000001000101,16590650,0,0.120000,0.600000
16572366,43,0110000100000000000000000000000001000101001,16587238,0,0.160000,0.800000
16572441,52,0001000000001001000000000010000000000000100000011010,16587255,0,0.040000,0.600000
16572516,44,10001010000000000000000001000000000100000000,16573621,0,0.080000,0.800000
16572519,44,00001000100001000000000000000000001011000110,16588929,0,0.050000,0.500000
16572568,46,0001000100001000000000000000000000000000100101,16577059,0,0.040000,0.600000
16572710,45,010000101000000000000000000000000000001000011,16572166,0,0.060000,0.600000
16572756,51,000100000000000100000000000000000000000001000011001,16588940,0,0.053333,0.800000
16572848,52,0000100001000000100000000000000000001000001000011000,16577065,0,0.030000,0.600000
16572874,35,00010000000000000000000000000000010,16580632,0,0.040000,0.800000
16572904,46,1010001000000000000000000000000000000001000111,16573629,0,0.080000,0.800000
16572919,42,010101000000000010000010000100000000000010,16602345,0,0.033333,0.500000
16572958,38,00000000000000000000000000000000101010,16588928,0,0.024000,0.600000
16572962,44,00000100000000100000000100000000010010100001,16572166,0,0.070000,0.700000
16572970,54,000101000000100100000000000000000000000000100011001011,16604036,0,0.053333,0.800000
16572997,44,11110000010000000000000100000000000000100110,16595713,0,0.046667,0.700000
16573024,44,00110000000000000000000001000010000001111011,16595695,0,0.050000,0.500000
16573035,53,00010010000000010010000000000100000000000000000100100,16585632,0,0.040000,0.600000
16573075,44,00001000000001000000000000000000000111010011,16590647,0,0.035000,0.700000
16573097,53,00001000000000001000000000001000000010000010000110000,16587251,0,0.023333,0.700000
16573146,54,000100000000100100000000000000000000000000000011001010,16567696,0,0.100000,1.000000
16573160,51,000110000000100000000000000000000000000010000110010,16597427,0,0.046667,0.700000
16573161,42,011000000000000000000001000000000000000011,16597426,0,0.140000,0.700000
16573181,51,000100000000000100000000000000010000000000000011001,16594151,0,0.046667,0.700000
16573217,40,1111010100000000000000001000000100000000,16604027,0,0.035000,0.700000
16573289,43,1000101010000000000000000100010000000000000,16597417,0,0.024000,0.600000
16573293,43,1000101010000000000000000100010000000000000,16573637,0,0.020000,0.600000
16573310,41,10000100000000000000000000000001000001001,16590648,0,0.030000,0.600000
16573316,41,00001000000000000100010010000000000100010,16588940,0,0.040000,0.600000
16573349,38,00000000000000000000000000000000101010,16585638,0,0.030000,0.600000
16573375,43,1000101000000000000000000100100000000000000,16573636,0,0.046667,0.700000
16573380,44,00000100000000000000000000000000000000100001,16597421,0,0.046667,0.700000
16573387,41,00100000001000000000000000100000000000000,16570691,0,0.046667,0.700000
16573389,37,0001000000000000000000000000000000101,16605733,0,0.100000,0.700000
16573391,45,000000000000000000000000000000000000010100010,16597421,0,0.040000,0.600000
16573411,41,00011100000000000001000000000000001000000,16597426,0,0.120000,0.600000
16573460,51,000100000000100100000000000000000000000010000011001,16595697,0,0.040000,0.600000
16573478,44,00000000000011000000000000010000000010000001,16592326,0,0.020000,0.500000
16573499,43,1000100000010010000000000000000000000000011,16573633,0,0.024000,0.600000
16573500,42,110010010100000000010000000010000000000000,16582422,0,0.060000,0.600000
16573505,42,100010000100100000001000000000000001000011,16600692,0,0.040000,0.600000
16573512,43,0100100001100001000000001000100000000000001,16600705,0,0.060000,0.600000
16573520,44,00001000100001000000000000000000001010000110,16592335,0,0.040000,0.600000
16573531,44,10001010000000000000000001000100000000000010,16605751,0,0.070000,0.700000
16573542,51,000100000000100100000000000000000000000010000011001,16588939,0,0.040000,1.000000
16573545,53,00010010000000010010000000010000000000000000001100000,16600697,0,0.160000,0.800000
16573552,42,101001000000000000000000000000000000110000,16604030,0,0.120000,0.600000
16573693,52,0001000000000001000000000000000100000000000000110011,16599072,0,0.035000,0.700000
16573700,52,0001000000001001000000000000010100010001000000110010,16597417,0,0.028000,0.700000
16573705,43,0100100001100010000000001000100000000000000,16587236,0,0.060000,0.600000
16573722,44,10000110000000000000000000000000000000100001,16573637,0,0.020000,0.600000
16573752,42,111001000000000000000010000000000000000010,16595712,0,0.030000,0.600000
16573758,42,100010000000000000000000000100000001000011,16575196,0,0.053333,0.800000
16573762,41,11110000000000000000000100000000000010001,16587236,0,0.060000,0.600000
16573808,45,100010100000000000000000010000000000000000000,16562974,0,0.040000,0.800000
16573843,53,00010001000010010000000000000000010000000010001100101,16583995,0,0.080000,1.000000
16573924,52,0000100000000000100000000000000000001000001000011000,16604028,0,0.120000,0.600000
16573928,52,0001001000000001000000000000000000000100000000110011,16592337,0,0.028000,0.700000
16573936,42,000101100001000000000000000100000000000000,16594148,0,0.070000,0.700000
16573947,49,0010010100100100000000000000000001000000000011101,16585631,0,0.032000,0.800000
16573958,40,1110001000000000000001100000000000000001,16597417,0,0.024000,0.600000
16573968,45,001000100001000000000000001000000000001100001,16575196,0,0.046667,0.700000
16573983,42,000000010000000000000000000000000000110000,16605743,0,0.035000,0.700000
16574012,49,0010000000000010010000000000000000100001001001001,16580621,0,0.028000,0.700000
16574014,54,010010000000010110000000000000000000110000000001100101,16597408,0,0.120000,0.600000
16574016,42,111000000000000000000010000000000000000010,16577057,0,0.040000,0.600000
16574023,50,00010000000000010000000000000010000000000000011001,16590649,0,0.035000,0.700000
16574036,53,00010000000010010000010000000000000010000000001100101,16575211,0,0.070000,0.700000
16574193,44,00000100000000000000000000000000000001100011,16588938,0,0.040000,0.600000
16574201,46,1001000100001000001000000100000000000000100001,16579104,0,0.040000,0.600000
16574241,42,111000100010000000000010000000000010000010,16607602,0,0.040000,0.600000
16574245,51,000100000000000100000000000000000000000000000011001,16594142,0,0.060000,0.600000
