update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
0,100,0,160,1.600000,0.000000,30.000000,-1,40.000000,40.000000,-1,0,0,60,0,0,0,2,0,0,15.907333,0.159333,0.159333,0.610000,1.000000,-1,-1,-1,-1,-1,0.099583
10,185,0,5562,30.064865,0.000000,30.000000,-1,40.002877,40.002877,-1,13,0,859,0,0,0,373,0,151,8.392333,3.151811,3.151811,0.789189,0.888731,-1,-1,-1,-1,-1,0.104834
20,183,0,7771,42.464481,0.000000,30.000000,-1,40.001930,40.001930,-1,11,0,735,8,0,316,305,0,153,8.149552,5.564474,5.564474,0.945355,0.915417,-1,-1,-1,-1,-1,0.131038
30,150,0,7145,47.633333,0.000000,30.000000,-1,40.004059,40.004059,-1,1,0,467,4,0,203,342,0,11,7.534111,6.097000,6.097000,0.993333,0.955901,-1,-1,-1,-1,-1,0.127999
40,136,0,6198,45.573529,0.000000,30.000000,-1,40.004195,40.004195,-1,8,0,580,7,0,277,265,0,102,7.811495,6.110074,6.110074,1.000000,0.929668,-1,-1,-1,-1,-1,0.134071
50,126,0,5862,46.523810,0.000000,30.000000,-1,40.009894,40.009894,-1,4,0,420,9,0,213,389,0,50,7.795635,6.251984,6.251984,1.000000,0.952285,-1,-1,-1,-1,-1,0.134382
60,110,0,5132,46.654545,0.000000,30.000000,-1,40.009743,40.009743,-1,4,0,458,10,0,199,323,0,52,7.397788,5.829485,5.829485,1.000000,0.946507,-1,-1,-1,-1,-1,0.124950
70,96,0,4415,45.989583,0.000000,30.000000,-1,40.014723,40.014723,-1,4,0,527,8,0,200,110,0,41,8.175590,6.077882,6.077882,1.000000,0.939476,-1,-1,-1,-1,-1,0.132158
80,94,0,4223,44.925532,0.000000,30.000000,-1,40.009709,40.009709,-1,6,0,319,7,0,143,310,0,86,7.561064,5.825461,5.825461,1.000000,0.918871,-1,-1,-1,-1,-1,0.129669
90,78,0,3596,46.102564,0.000000,30.000000,-1,40.013626,40.013626,-1,3,0,320,7,0,116,107,0,39,8.128974,6.358205,6.358205,1.000000,0.943456,-1,-1,-1,-1,-1,0.137914
100,80,0,3743,46.787500,0.000000,30.000000,-1,40.018969,40.018969,-1,3,0,312,3,0,154,178,0,41,8.522042,6.811292,6.811292,1.000000,0.944996,-1,-1,-1,-1,-1,0.145579
110,76,0,3575,47.039474,0.000000,30.000000,-1,40.036643,40.036643,-1,3,0,269,1,0,127,62,0,39,8.966842,7.129649,7.129649,1.000000,0.942583,-1,-1,-1,-1,-1,0.151567
120,88,0,3953,44.920455,0.000000,30.000000,-1,40.039211,40.039211,-1,5,0,358,6,0,138,255,0,65,8.328674,6.254659,6.254659,1.000000,0.921295,-1,-1,-1,-1,-1,0.139239
130,81,0,3849,47.518519,0.000000,30.000000,-1,40.039231,40.039231,-1,2,0,404,5,0,134,74,0,17,8.766831,6.788724,6.788724,1.000000,0.953224,-1,-1,-1,-1,-1,0.142865
140,76,0,3375,44.407895,0.000000,30.000000,-1,40.030519,40.030519,-1,6,0,287,9,0,115,125,0,89,8.337500,6.574781,6.574781,1.000000,0.891577,-1,-1,-1,-1,-1,0.148054
150,76,0,3685,48.486842,0.000000,30.000000,-1,40.034464,40.034464,-1,1,0,225,3,0,123,223,0,15,8.548289,7.197325,7.197325,1.000000,0.963865,-1,-1,-1,-1,-1,0.148439
160,82,0,3761,45.865854,0.000000,30.000000,-1,40.030045,40.030045,-1,4,0,318,3,0,138,215,0,56,8.298455,6.457642,6.457642,1.000000,0.922660,-1,-1,-1,-1,-1,0.140794
170,76,0,3610,47.500000,0.000000,30.000000,-1,40.060111,40.060111,-1,3,0,237,3,0,116,164,0,40,8.084539,6.630373,6.630373,1.000000,0.928806,-1,-1,-1,-1,-1,0.139587
180,78,0,3424,43.897436,0.000000,30.000000,-1,40.045269,40.045269,-1,6,0,318,2,0,157,75,0,65,8.607393,6.520812,6.520812,1.000000,0.891895,-1,-1,-1,-1,-1,0.148547
190,76,0,3602,47.394737,0.000000,30.000000,-1,40.016657,40.016657,-1,2,0,246,8,0,133,133,0,21,8.611316,6.783421,6.783421,1.000000,0.942679,-1,-1,-1,-1,-1,0.143126
200,79,0,3518,44.531646,0.000000,30.000000,-1,40.035247,40.035247,-1,5,0,385,7,0,125,132,0,62,9.190633,6.674346,6.674346,1.000000,0.904201,-1,-1,-1,-1,-1,0.149879
210,71,0,3261,45.929577,0.000000,30.000000,-1,40.019013,40.019013,-1,3,0,275,2,0,124,87,0,38,8.479343,6.403286,6.403286,1.000000,0.927211,-1,-1,-1,-1,-1,0.139415
220,80,0,3747,46.837500,0.000000,30.000000,-1,40.048305,40.048305,-1,2,0,356,8,0,148,148,0,23,8.194417,6.180583,6.180583,1.000000,0.939735,-1,-1,-1,-1,-1,0.131958
230,77,0,3331,43.259740,0.000000,30.000000,-1,40.070249,40.070249,-1,7,0,301,3,0,148,85,0,69,8.677749,6.430476,6.430476,1.000000,0.870737,-1,-1,-1,-1,-1,0.148648
240,75,0,3494,46.586667,0.000000,30.000000,-1,40.090155,40.090155,-1,3,0,303,3,0,112,233,0,34,8.063867,6.202800,6.202800,1.000000,0.921635,-1,-1,-1,-1,-1,0.133145
250,70,0,3343,47.757143,0.000000,30.000000,-1,40.072390,40.072390,-1,1,0,281,4,0,114,49,0,12,9.603048,7.206476,7.206476,1.000000,0.948169,-1,-1,-1,-1,-1,0.150898
260,84,0,3623,43.130952,0.000000,30.000000,-1,40.067071,40.067071,-1,9,0,322,3,0,140,205,0,108,7.452976,5.681944,5.681944,1.000000,0.856009,-1,-1,-1,-1,-1,0.131737
270,82,0,3723,45.402439,0.000000,30.000000,-1,40.067419,40.067419,-1,4,0,410,3,0,141,128,0,58,8.841626,6.280325,6.280325,1.000000,0.906601,-1,-1,-1,-1,-1,0.138326
280,91,0,4252,46.725275,0.000000,30.000000,-1,40.082314,40.082314,-1,3,0,367,5,0,169,156,0,42,8.316154,6.280916,6.280916,1.000000,0.924244,-1,-1,-1,-1,-1,0.134422
290,89,0,4049,45.494382,0.000000,30.000000,-1,40.070388,40.070388,-1,6,0,307,5,0,149,129,0,87,8.597360,6.627360,6.627360,1.000000,0.885838,-1,-1,-1,-1,-1,0.145674
300,89,0,3981,44.730337,0.000000,30.000000,-1,40.069329,40.069329,-1,7,0,315,5,0,149,130,0,71,8.263708,6.380487,6.380487,1.000000,0.879625,-1,-1,-1,-1,-1,0.142643
310,91,0,3992,43.868132,0.000000,30.000000,-1,40.071393,40.071393,-1,7,0,413,4,0,166,102,0,101,8.395421,6.036813,6.036813,1.000000,0.880271,-1,-1,-1,-1,-1,0.137613
320,82,0,3849,46.939024,0.000000,30.000000,-1,40.044167,40.044167,-1,2,0,325,5,0,152,234,0,29,8.673984,6.488618,6.488618,1.000000,0.925580,-1,-1,-1,-1,-1,0.138235
330,79,0,3632,45.974684,0.000000,30.000000,-1,39.994769,39.994769,-1,4,0,303,3,0,145,176,0,54,8.340464,6.448565,6.448565,1.000000,0.909285,-1,-1,-1,-1,-1,0.140263
340,78,0,3523,45.166667,0.000000,30.000000,-1,40.050809,40.050809,-1,5,0,232,2,0,136,83,0,64,8.460171,6.539829,6.539829,1.000000,0.890208,-1,-1,-1,-1,-1,0.144793
350,77,0,3533,45.883117,0.000000,30.000000,-1,40.060572,40.060572,-1,4,0,325,7,0,130,103,0,48,8.131580,6.089199,6.089199,1.000000,0.897315,-1,-1,-1,-1,-1,0.132711
360,81,0,3676,45.382716,0.000000,30.000000,-1,40.071273,40.071273,-1,5,0,231,6,0,122,153,0,62,8.308519,6.588601,6.588601,1.000000,0.886511,-1,-1,-1,-1,-1,0.145179
370,85,0,3869,45.517647,0.000000,30.000000,-1,40.051434,40.051434,-1,4,0,405,2,0,140,29,0,47,8.994235,6.456745,6.456745,1.000000,0.909087,-1,-1,-1,-1,-1,0.141851
380,79,0,3635,46.012658,0.000000,30.000000,-1,40.058597,40.058597,-1,3,0,312,2,0,118,146,0,36,8.402616,6.449705,6.449705,1.000000,0.918784,-1,-1,-1,-1,-1,0.140172
390,83,0,3922,47.253012,0.000000,30.000000,-1,40.071647,40.071647,-1,3,0,300,7,0,148,148,0,32,8.358072,6.621847,6.621847,1.000000,0.920485,-1,-1,-1,-1,-1,0.140136
400,83,0,3832,46.168675,0.000000,30.000000,-1,40.079854,40.079854,-1,4,0,328,5,0,163,126,0,38,8.478414,6.461345,6.461345,1.000000,0.899188,-1,-1,-1,-1,-1,0.139951
410,88,0,3922,44.568182,0.000000,30.000000,-1,40.037481,40.037481,-1,6,0,339,6,0,137,157,0,63,8.205777,5.941951,5.941951,1.000000,0.880071,-1,-1,-1,-1,-1,0.133323
420,94,0,4155,44.202128,0.000000,30.000000,-1,40.042359,40.042359,-1,8,0,411,2,0,144,148,0,100,8.729858,6.358794,6.358794,1.000000,0.865415,-1,-1,-1,-1,-1,0.143857
