ID,genomeSize,genome
99844091,30,000010011001100010100100010010
99844097,30,000110011010010000101101000000
99845775,30,000010011001100000100100010010
99847642,30,000110011010110000100101000000
99847645,30,010110001010010000100100010101
99847652,30,010110001010010000100100000001
99847657,30,010110001010010000100100000001
99847658,30,010110001010010000100101000100
99849321,30,000110001010010000101101000000
99849326,30,010110001010010000100101000100
99849330,30,010110001000010000110100010111
99851070,30,000110011010010000100101000000
99851071,30,000110011010010000100101000000
99851076,30,000110011010010000100101000000
99851084,30,000110011010010000100101000000
99852753,30,000010011001100000100110010010
99852756,30,010110001010010000100100000001
99852763,30,010110001010010000100100000001
99852766,30,010110001010010000100101000100
99852769,30,000110011010110000100101000000
99852770,30,010110001010010000100100000001
99852772,30,000110011010010000100101000000
99852774,30,000010011001100000100100010010
99852775,30,010110001010010000100100010100
99854417,30,000110011010010000100101000000
99854424,30,010110001010010000100100010101
99854426,30,010110001010010000100100000001
99854432,30,000110011010010000100101000000
99854435,30,000110011010010000100101000000
99856065,30,000110011010010000101101000000
99856070,30,000110001010010000100101000000
99856074,30,000110011010010000100101000000
99856077,30,000010011001100000100100010010
99856079,30,010110001010010000100100000001
99856083,30,000010011001100010100100010010
99856084,30,000110001010010000101101000000
99857968,30,000110001010010000101101000000
99857970,30,010110001010010000100100010101
99857971,30,000110011010110000100101000000
99857974,30,010110001010010000100100000001
99857975,30,000010011001100010100100010010
99857976,30,000110011010110000100101000000
99857977,30,010110001010010000100100000001
99857980,30,010110001010010000100100000001
99857981,30,010110001010010000100100000001
99857985,30,010110001010010000100100000001
99859614,30,000110011010010000101101000000
99859615,30,000010011001110000100100010010
99859616,30,000110001010010000101101000000
99859617,30,000110001010010000100101000000
99859618,30,000110011010010000111101000000
99859622,30,000010011001100000100100010010
99859623,30,010110001010010000100101000100
99859624,30,011110001010010101100100000001
99861201,30,000010011001100010100100010010
99861203,30,011110001010010101100100000001
99861205,30,000110011010010000100101000000
99861206,30,010110001010010000100100010101
99861207,30,010110001010010000100100000001
99861209,30,000110011010010000100101000000
99862641,30,000110011010010000111101000000
99862644,30,000010011001100000100100010010
99862646,30,000110011010010000100101000000
99862647,30,010110001010010000100100000001
99862652,30,010110001010010000100100000001
99862655,30,010110001010010000100101000100
99864069,30,000110011010010000100101000000
99864070,30,000110011010010000100101000000
99864071,30,000010011001100000100100010010
99864072,30,010110001010010000100101000100
99864074,30,000110011010010000100101000000
99864075,30,010110001010010000100100000001
99864076,30,000110001010010000101101000000
99864077,30,000110011010010000100101000000
99864079,30,000110011010010000100101000000
99864080,30,000010011001100000100100010010
99864082,30,000110011010010000100101000000
99864083,30,010110001010010000100100000001
99864084,30,011110001010010101100100000001
99864086,30,000010011001100000100100010010
99864088,30,000110011010010000100101000000
99864090,30,000010011001100010100100010010
99864092,30,000110001010010000101101000000
99865664,30,000110011010010000100101000000
99865665,30,010110001010010000100100000001
99865666,30,000110011010010000100101000000
99865667,30,000110011010010000100101000000
99865668,30,000010011001100010100100010010
99865671,30,000010011001100000100100010010
99866927,30,000110011010010000100101000000
99866928,30,010110011010010000100100000001
99866929,30,000110011010010000100101000000
99866930,30,000110011010010000100101000000
99866931,30,000110011010010000100101000000
99866932,30,000110011010010000100101000000
99866934,30,010110001010000000100100000001
99866935,30,000010011001100010100100010010
99866936,30,000110011010010000100101000000
99866938,30,000110011010010000100101000000
99866940,30,000010011001100000100100010010
99866941,30,010110001010010000100100000001
99866942,30,010110001010010000100100010100
99866943,30,010110001010010000100100000001
99866944,30,000110011010010000100101000000
99866945,30,010110001010010000100100000001
99866946,30,000110011010010000100101000000
99866947,30,010110001010010000100100000001
99866949,30,000110001010010000101101000000
99866950,30,000010011001100000100100010010
99866951,30,010110001010010000100100000001
99866952,30,010110001010010000100100000001
99866953,30,000110011010010000100101000000
99868632,30,010110001010010000100100000001
99868633,30,000010011001100000100100010010
99868635,30,011110001010010101100100000001
99868636,30,000110011010010000100101000000
99868637,30,000110011010010000100101000000
99868638,30,000110011010010000100101000000
99868639,30,010110001010010000100100000001
99868640,30,010110001010010000100101000100
99868641,30,000110011010010000101101000000
99868642,30,000110011010010000100101000000
99868643,30,010110001010010000100100000001
99868644,30,000010011001100000100100010010
99868645,30,000110011010010000100101000000
99868646,30,010110001010010000100100000001
99868650,30,000110011010110000100101000000
99868652,30,000110011010010000100101000000
99868653,30,000110011010010000100101000000
99868656,30,010110001010010000100101000100
99868657,30,010110001010010000100100000001
99870450,30,000110011010010000100101000000
99870452,30,000110011010010000100101000000
99870453,30,010110001010010000100100000001
99870454,30,000110001010010000101101000000
99870456,30,000110011010010000100101000000
99870457,30,010110001010010000100100000001
99870458,30,010110001010010000100100010101
99870459,30,000110011010010000100101000000
99870460,30,000010011001100000100100000010
99870462,30,010110001010010000100100000001
99870463,30,000110001010010000101101000000
99870465,30,000110011010010000100101000000
99872004,30,010110001010010000100101000100
99872005,30,010110001010010000100100000001
99872006,30,000110001010010000101101000000
99872007,30,010110001010010000100100000001
99872008,30,000010011001100000100100010010
99872009,30,010110001010010000100100000001
99872010,30,010110001010010000100101000100
99872011,30,010110001010010000100101000100
99872012,30,000010011001100000100100010010
99872013,30,010110011010010000100100000001
99872014,30,000110011010010000100101000000
99872015,30,000010011001100000100100010010
99872016,30,000010011001100000100110010010
99872017,30,010110001010010000100101000100
99872018,30,011110001010010000100100000001
99872019,30,000010011001100000100100010010
99872020,30,000010011001100000100100010010
99872021,30,000110011010010000100101000000
99872022,30,010110001010010000100100010101
99872023,30,000110011010010000100101000000
99872024,30,000110011010010000100101000000
99872025,30,010110001010010000100100000001
99873952,30,010110001010010000100100010101
99873953,30,000110011010010000100101000000
99873954,30,000110011010110000100101000000
99873955,30,000010011001100000100100010010
99873956,30,000110011010010000100101000000
99873957,30,000110011010010000100101000000
99873958,30,000110011010010000100101000000
99873959,30,010110001010010000100101000100
99873960,30,010110001010010000100100000001
99873961,30,000110011010110000100101000000
99873962,30,010110001010010000100100000001
99873963,30,000110001010010000100101000000
99873964,30,000011011001100000100110010010
99873965,30,000110011010010000100101000000
99873966,30,010110001010010000100100000001
99873967,30,010110001010010000100100010101
99873968,30,000110011010010000100101000000
99873969,30,000010011001100010100100010010
99873970,30,000110011010010000111101000000
99875643,30,000110011010010000100101000000
99875644,30,000110001010010000101101000000
99875645,30,010110001010010000100100000001
99875646,30,000110011010010000100101000000
99875647,30,010110001000010000110100010111
99875648,30,010110001010010000100100000001
99875649,30,010110001010010000100100000001
99875650,30,000110011010010000101101000000
99875651,30,010110001010010000100101000100
99875652,30,000010011001100000100100010010
99875653,30,000110011010010000100101000000
99875654,30,000010011001110000100100010010
99875655,30,000010011001100010100100010010
99877076,30,011110001010010000100100000001
99877077,30,000110011010010000100101000000
99877078,30,010110001010010000100100010100
99877079,30,000110011010010000100101000000
99877080,30,000110011010010000100101000000
99877081,30,010110001010010000100100000001
99877082,30,010110001010010000100101000100
99877083,30,000110001010010000101101000000
99877084,30,000110001010010000101101000000
99877085,30,000010011001100000100100010010
99877086,30,000110011010010000100101000000
99877087,30,000110011010010000100101000000
99877088,30,010110001010010000100100000001
99877089,30,000110011010110000100101000000
99877090,30,000110011010010000100101000000
99877091,30,000110011010010000100101000000
99877092,30,000110011010010000100101000000
99877093,30,000010011001100000100100010010
99877094,30,010110001010010000100100000001
99877095,30,000110011010110000100101000000
99877096,30,011110001010010101100100000001
99877097,30,010110001010010000100100000001
99877098,30,000110011010010000100101000000
99877099,30,010110001010010000100100000001
99878891,30,000010011001100000100100010010
99878892,30,000110001010010000101101000000
99878893,30,000110011010110000100101000000
99878894,30,010110001010010000100100000001
99878895,30,000110011010010000100101010000
99878896,30,010110001010010000100100010101
99878897,30,000110011010010000100101000000
99878898,30,000110011010010000101101000000
