update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
280,58,0,2682,46.241379,0.000000,30.000000,-1,40.133110,40.133110,-1,3,0,233,4,0,108,72,0,48,9.113333,7.208506,7.208506,1.000000,0.913657,-1,-1,-1,-1,-1,0.155889
290,63,0,2914,46.253968,0.000000,30.000000,-1,40.098147,40.098147,-1,1,0,302,3,0,117,0,0,12,9.524497,6.930529,6.930529,1.000000,0.945486,-1,-1,-1,-1,-1,0.149836
300,64,0,2752,43.000000,0.000000,30.000000,-1,40.089753,40.089753,-1,7,0,239,3,0,117,81,0,84,8.592292,6.616042,6.616042,1.000000,0.852659,-1,-1,-1,-1,-1,0.153861
310,65,0,2957,45.492308,0.000000,30.000000,-1,40.070342,40.070342,-1,2,0,280,2,0,104,167,0,21,8.176564,6.079846,6.079846,1.000000,0.929900,-1,-1,-1,-1,-1,0.133646
320,57,0,2746,48.175439,0.000000,30.000000,-1,40.065186,40.065186,-1,0,0,152,6,0,100,68,0,0,9.230877,7.435789,7.435789,1.000000,0.957774,-1,-1,-1,-1,-1,0.154348
330,68,0,3226,47.441176,0.000000,30.000000,-1,40.053007,40.053007,-1,2,0,282,4,0,123,0,0,30,8.806912,6.634265,6.634265,1.000000,0.932862,-1,-1,-1,-1,-1,0.139842
340,70,0,3057,43.671429,0.000000,30.000000,-1,40.053320,40.053320,-1,5,0,403,5,0,129,119,0,67,7.878071,5.412405,5.412405,1.000000,0.874463,-1,-1,-1,-1,-1,0.123935
350,75,0,3365,44.866667,0.000000,30.000000,-1,40.074591,40.074591,-1,7,0,276,1,0,119,169,0,83,8.045289,6.443600,6.443600,1.000000,0.870445,-1,-1,-1,-1,-1,0.143617
360,77,0,3689,47.909091,0.000000,30.000000,-1,40.091353,40.091353,-1,1,0,260,2,0,110,145,0,15,8.868788,6.932078,6.932078,1.000000,0.947713,-1,-1,-1,-1,-1,0.144692
370,75,0,3392,45.226667,0.000000,30.000000,-1,40.102300,40.102300,-1,4,0,247,4,0,128,50,0,40,8.875156,6.858178,6.858178,1.000000,0.898965,-1,-1,-1,-1,-1,0.151640
