ID,genomeSize,genome
16632842,30,001011101110101101110101010100
16633667,30,001011101110101101110101010100
16633670,30,001011101110101101110101010100
16634255,30,011111001011010010010100110111
16634907,30,001011101110101101110101010100
16634908,30,001011101110101101110101010100
16635384,30,000000101110011010110101010101
16635926,30,011101001011010010010100100101
16635927,30,001011101110101101110101010100
16635928,30,001011101110101101110101010100
16636500,30,000000101110011010110101010101
16636501,30,001011101110101101110101010100
16637097,30,001001101110101101110101010100
16637658,30,001011101110101101110101010100
16637665,30,011111001011010010010100110111
16637666,30,011111001011010010010100010111
16638276,30,001011101110101101110101010100
16638277,30,011111001011010010010100110111
16638278,30,011111101011010010010100110111
16638280,30,000000101110011010110101010101
16638887,30,001011101110101101110101010100
16638888,30,011101001011010010010100100101
16638889,30,011111001011010010010100111111
16638890,30,001011101110101101110101010100
16638891,30,011111001011010010010100111111
16638893,30,000000101110011010110101010101
16639582,30,001011101110101101110101010100
16639583,30,011111001011010010010100111111
16639585,30,001011101110101101110101010100
16639587,30,011111001011010010010100111111
16639588,30,001011101110101101110101010100
16640249,30,011111001011010010010100111111
16640250,30,001011101110101101110101010100
16640251,30,011111001011010010010100111111
16640252,30,011111001011010010010100110111
16640254,30,001011101110101101110101010100
16640255,30,011111001011010010010100111111
16640889,30,011101001011010010010100100101
16640890,30,011111001011010010010100111111
16640891,30,011111001011010010010100110111
16640892,30,011111001011010010010100110111
16640893,30,000000101110011010110101010101
16640894,30,000000101110011010110101010101
16640895,30,011101001011010010010100100101
16640896,30,011111001011010010010100111111
16641485,30,011111001011010010010100111111
16641486,30,011111001011010010010100110111
16641488,30,011111001011010010010101110111
16641490,30,011111101011010010010100110111
16641491,30,000000101110011010110101010100
16642087,30,000000101110011010110101010101
16642088,30,001011101110101101110101010100
16642089,30,011111001011010010010100111111
16642090,30,001011101110101101110101010100
16642092,30,001011101110101101110101010100
16642093,30,001011101110101101110101010100
16642094,30,001011101110101101110101010100
16642820,30,011111001011010010010100111111
16642821,30,011111001011010010010100110111
16642822,30,001011101110101101110101010100
16643262,30,000000101110011010110101010101
16643263,30,011111001011010010010100110111
16643264,30,000000101110011010110101010101
16643265,30,011111001011010010010100111111
16643266,30,011101001011010010010100100101
16643267,30,001011101110101101110101010100
16643268,30,001011101110101101110101010100
16643269,30,000000101110011010110101010100
16643270,30,001011101110101101110101010100
16643271,30,000000101110011010110101010101
16643957,30,001011101110101101110101010100
16643958,30,001011101110101101110101010100
16643959,30,001011101110101101110101010100
16643960,30,001011101110101101110101010100
16643961,30,001011101110101101110101010100
16644418,30,011111001011010010010100110111
16644419,30,001011101110101101110101010100
16644420,30,001011101110101101110101010100
16644421,30,001011101110101101110101010100
16644422,30,001011101110101101110101010100
16644423,30,011111101011010010010100110111
16645053,30,000000101110011010110101010101
16645054,30,001011101110101101110101010100
16645055,30,011111001011010010010100110111
16645056,30,011111001011010010010100010111
16645057,30,011111001011010010010100111111
16645058,30,000000101110011010110101010101
16645685,30,001011101110101101110101010100
16645686,30,001011101110101101110101010100
16645687,30,001011101110101101110101010100
16645688,30,011111001011010010010100110111
16645689,30,011111101011010010010100110111
16645690,30,011111001011010010010100111111
16646148,30,011111001011010010010100111111
16646149,30,000000101110011010110101010101
16646150,30,001001101110101101110101010100
16646151,30,001011101110101101110101010100
16646152,30,000000101110011010110101010101
16646153,30,011111001011010010010100110111
16646154,30,011111001011010010010100010111
16646155,30,001011101110101101110101010100
16646156,30,000000101110011010110101010101
16646157,30,011111001011010010010100110111
16646158,30,011111001011010010010100110111
16646159,30,001011101110101101110101010100
16646793,30,001011101110101101110101010100
16646794,30,011111001011010010010100111111
16646795,30,011111001011010010010100111111
16646796,30,011111001011010010010100111111
16647385,30,011111001011010010010100111111
16647386,30,011111001011010010010100111111
16647387,30,001011101110101101110101010100
16647388,30,011111001011010010010100111111
16647389,30,011111001011010010010100111111
16647390,30,000000101110011010110101010100
16647997,30,011111001011010010010100110111
16647998,30,011101001011010010010100100101
16647999,30,001011101110101101110101010100
16648000,30,000000101110011010110101010101
16648001,30,001011101110101101110101010100
16648002,30,001011101110101101110101010100
16648559,30,011111001011010010010100111111
16648560,30,001011101110101101110101010100
16648561,30,001011101110101101110101010100
16648562,30,011111001011010010010100111111
16648563,30,011111001011010010010100110111
16648564,30,000000101110011010110101010101
16648565,30,011101001011010010010100100101
16648566,30,011111001011010010010100111111
16648567,30,001011101110101101110101010100
16648568,30,001011101110101101110101010100
16649341,30,011111001011010010010100110111
16649342,30,001011101110101101110101010100
16649343,30,011111101011010010010100110111
16649344,30,000000101110011010110101010101
16649345,30,011111001011010010010101110111
16649346,30,001011101110101101110101010100
16649920,30,001011101110101101110101010100
16649921,30,001011101110101101110101010100
16649922,30,001011101110101101110101010100
16649923,30,001011101110101101110101010100
16649924,30,011111001011010010010100110111
16649925,30,011101001011010010010100100101
16649926,30,011111001011010010010100111111
16649927,30,011111001011010010010100110111
16649928,30,011101001011010010010100100101
16649929,30,011111001011010010010100111111
16649930,30,011111001011010010010100110111
16649931,30,011111001011010010010100110111

