ID,genomeSize,genome
66503569,30,000000100100000000010010001100
66503572,30,000000100100000000010010001100
66505125,30,000000100100000000010010001000
66505133,30,000000100100000000010010001100
66505140,30,010011100110000011010010011000
66506929,30,000100100100000000010010001100
66506931,30,100000100000010000010010001100
66506935,30,000000100100000000010010001100
66508811,30,000000100000000000010010001100
66508813,30,000000100100000000010010001100
66508818,30,000000100100100000010010001100
66508820,30,000111000101000110010011011000
66508821,30,000000100100100000010010001100
66508823,30,000111000101000010010010011000
66510419,30,000000101100000000010010001100
66510420,30,010000100100000000010010001100
66511918,30,000000100100000000010010001100
66511924,30,000000100100000000010010001100
66511930,30,000000100100100000010010001100
66511931,30,000000100100000100010010001100
66511932,30,000000100100000000111000001100
66511935,30,000000100100000000010010001000
66511936,30,000000100100000000011010001100
66511937,30,000000100100000100010010001100
66513639,30,000000101100000000010010001100
66513642,30,000000100100100000010010001100
66513643,30,000000100100000000010010001100
66513645,30,000000100100000000010010011100
66513649,30,000000100100100000010010001100
66513650,30,000000100100000000010010001100
66513651,30,000111000101000110010010011000
66513655,30,000000100100000100010010001100
66513656,30,000000100100000000111000001100
66515200,30,000000100100000000010010001100
66515202,30,000111000101000110010010011000
66515203,30,000000100100000000010010001100
66515206,30,000000100100000000010010001100
66515207,30,000000100100000000110000001100
66515208,30,000000100100000000010010001100
66515210,30,000000100100000000111000001100
66515213,30,000000100100100000010010001100
66515214,30,000000100100000000010010001100
66515215,30,000000100100000000110010001100
66515216,30,000000100100000000110010001100
66515217,30,000000100100000000010010001100
66515218,30,000111000101000110010011011000
66515221,30,000000100100000000010010011100
66517096,30,000000100100100000010010001100
66517098,30,000000101100000000010010001100
66517100,30,000000101100000000010010001100
66517102,30,000000100100000000010010001000
66517105,30,000000100100100000010010001100
66517106,30,000111000101000110010011011000
66518722,30,000000100100000000010010001100
66518723,30,000000101100000000010010001100
66518725,30,000000101100000000010010001100
66518726,30,000000100100000100010010001100
66518727,30,000000101100000000010010001100
66518728,30,000111000101000110010010011000
66518729,30,000000100100000000010010001100
66518733,30,000111000101000110010010011000
66518735,30,000000100100000000011010001100
66518736,30,000000101100000000010010001100
66520320,30,000000100100000000011010001100
66520321,30,000000100100000000010010001100
66520325,30,000000101100000000010010001100
66520328,30,000000100100000000010010001100
66520329,30,000000100100100000010010001100
