ID,genomeSize,genome
51078170,30,111000111101101111110101110111
51078785,30,001101000101011001010101101011
51078787,30,011101000101011001010101101011
51078793,30,101000010101001111110101110111
51079425,30,001100000101011001010111101110
51079922,30,001100000101011011010111101110
51080533,30,101000010101001111110101110111
51081138,30,001100000101011011010111101110
51081736,30,101000010101001111110101110111
51081738,30,011101000101011001010101101011
51082208,30,011101000101011001010101101011
51082209,30,101000010101001111110101110111
51082210,30,111000111101101111110101110111
51082211,30,001101000101011011010111101011
51082212,30,001101000101011011010111101011
51082213,30,001100000101001011010111101110
51082767,30,101000010101001111110101110111
51083198,30,111000111101101111110101110111
51083674,30,001100000101011011010111101110
51083675,30,001101000101011011010111101011
51083676,30,001101000101011011010111101011
51083677,30,001101000101011011010111101011
51083678,30,111000011101101111111101110111
51083679,30,101000010101001111110101110111
51083680,30,111000011101111111110101110111
51084208,30,101000010101001111110101110111
51084209,30,001101000101011001010101101011
51084210,30,001100000101011011010111101110
51084211,30,001101000101011001010101101011
51084212,30,001101000101011001010101101011
51084213,30,101000010101001111110101110111
51084710,30,111000011101111111110101110111
51084711,30,001101000101011011010111101011
51084712,30,001100000101011001010111101110
51084713,30,001100000101011011010111101110
51084714,30,011101000101011001010101101011
51084715,30,001101000101001101010111111011
51084717,30,001101000101011011010111101011
51084718,30,101000010101001111110101110111
51084719,30,001100000101011001010111101110
51085318,30,001100000101011001010111101110
51085319,30,011101000101011001010101101011
51085320,30,001101000101011011010111101011
51085321,30,101000010101001111110101110111
51085322,30,101000010101001111110101110111
51085323,30,110100010101001111110101110111
51085325,30,001101000101011011010111101011
51085326,30,001101000101001101010111111011
51085952,30,001101000101011001010101101011
51085953,30,001101000101011001010101101011
51085954,30,001101000101011001010101101011
51085955,30,001100000101011011010111101110
51085956,30,001101000101011001010101101011
51085957,30,001100000101011011010111101110
51086517,30,101000010101001111110101110111
51086518,30,001101000101011011010111101011
51086519,30,001101000101011011010111101011
51086520,30,111100010101001111110101110111
51086521,30,001101000101011011010111101011
51086523,30,001101000101001101010111111011
51086525,30,101000010101001111110101110111
51086526,30,001100000101011011010111101110
51087228,30,001100000101011011010111101110
51087229,30,101000010101001111110101110111
51087230,30,110100010101001111110101110111
51087231,30,011101000101011001010101111011
51087232,30,111100010101001111100101110111
51087233,30,111100010101001111100101110111
51087895,30,101000010101001111110101110111
51087896,30,111000111101101111110101110111
51087897,30,011101000101011001010101111011
51087898,30,001101000101011001010101101011
51087899,30,111000011101111111110101110111
51088394,30,011101000101011001010101101011
51088395,30,001100000101011011010111101110
51088396,30,001100000101011011010111101110
51088397,30,001101000101001101010111111011
51088398,30,101000010101001111110101110111
51088399,30,001101000101011011010111101011
51088400,30,001100000101001011010111101110
51088401,30,011101000101011001010101101011
51089005,30,001101000101011011010111101011
51089006,30,011101000101011001010101101011
51089007,30,001100000101011011010111101110
51089008,30,011101000101011001010101101011
51089009,30,001101000101011011010111101011
51089561,30,001101000101011011010111101011
51089562,30,011101000101011001010101101011
51089563,30,001101000101011011010111101011
51089564,30,101000010101001111110101110111
51090056,30,001100000101011001010101101110
51090057,30,111000111101101111110101110111
51090058,30,001101000101011001010101101011
51090059,30,111000111101101111110101110111
51090060,30,111100010101001111110101110111
51090061,30,001101000101011011010111101011
51090062,30,001101000101011011010111101011
51090063,30,111000011101101111111101110111
51090064,30,101000010101001111110101110111
51090625,30,001101000101011011010111101011
51090626,30,101000010101001111110101110111
51090627,30,101000010101001111110101110111
51091063,30,001101000101001101010111111011
51091064,30,001100000101011011010111101110
51091065,30,111000011101111111110101110111
51091066,30,001100000101011001010111101110
51091067,30,001101000101011011010111101011
51091565,30,111000011101111111110101110111
51091566,30,001100000101011011010111101110
51091960,30,001101000101011011010111101011
51091961,30,001101000101011011010111101011
51091962,30,001100000101011011010111101110
51091963,30,011101000101011001010101101011
51091964,30,111000111101101111110101110111
51091965,30,001100000101011001010111101110
51091966,30,001101000101011011010111101011
51091967,30,101000010101001111110101110111
51091968,30,110100010101001111110101110111
51091969,30,001101000101001101010111111011
51091970,30,001101000101011001010101101011
51092637,30,001100000101011001010111101110
51092638,30,111000011101111111110101110111
51092639,30,001101000101011001010101101011
51092640,30,001101000101011001010101101011
51092641,30,001101000101001101010111111011
51092642,30,001100000101011001010111101110
51093127,30,101000010101001111110101110111
51093128,30,101000010101001111110101110111
51093129,30,101000010101001111110101110111
51093130,30,001101000101011011010111101011
51093131,30,001101000101011001010101101011
51093132,30,001101000101011001010101101011
51093133,30,101000010101001111110101110111
51093134,30,001101000101011011010111101011
51093135,30,101000010101001111110101110111

