ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
66528482,54,000110001100000000001001000100000010011011000000110110,66531549,0,0.120000,0.600000
66528536,52,1000110100010010011001001100000010011001000000110010,66542824,0,0.033333,0.500000
66528545,52,1001011010000100000111010001000000100110010000001101,66541203,0,0.050000,0.500000
66528547,53,00000011001000000001001000100000010011101000010110110,66533218,0,0.100000,0.500000
66528694,55,0111010011100001010000100110010000001001000100000011110,66552307,0,0.100000,0.500000
66528718,51,100000100100111000111010001000000100110010100000100,66550715,0,0.060000,0.600000
66528728,49,1100111100110010111000001100000000110010000000100,66549117,0,0.025000,0.500000
66528733,55,1110010011100001011000010100010000011001000100000011110,66515116,0,0.026667,0.400000
66529018,45,000010001000111010001000000110110010100011101,66536610,0,0.020000,0.400000
66529046,52,0010110100010000001101000100000000011001010000101011,66515116,0,0.066667,1.000000
66529061,51,100101011001000011010001100000100100010000011100100,66559408,0,0.040000,0.800000
66529086,49,0101101000000000001101000101000010011001000001100,66554221,0,0.020000,0.500000
66529132,54,000110001100000000001001000100000010011011000000110110,66545945,0,0.033333,0.500000
66529144,52,0110110100010000001111000100000000011001010000101011,66531554,0,0.040000,0.600000
66529186,50,01000100010000000101000110000100010001010000101011,66549118,0,0.040000,0.400000
66529250,51,000101011001000011010001100000100100010000011100101,66533233,0,0.080000,0.800000
66529305,50,00000100100101000110010001000000100110010100000000,66547573,0,0.033333,0.500000
66529333,50,11100101000100001001000101000010011011010010100011,66522946,0,0.100000,1.000000
66529339,50,11100101000100001001000101000010011011010010100011,66539739,0,0.020000,0.400000
66529343,51,000101011001000011011001100100100100010000011100100,66538042,0,0.010000,0.300000
66529353,48,000001111000100001001000010100000011011000011000,66522947,0,0.200000,1.000000
66529371,50,01001101000110100010010001000000000110110000011111,66562390,0,0.030000,0.600000
66529376,50,01010010001100000110100011000000001100101000111011,66555781,0,0.033333,0.500000
66529418,58,1101100010100011010000110100010000001001000100000011110110,66522952,0,0.100000,1.000000
66529440,57,001100000010100000000000100100010000000001100100001111011,66541219,0,0.100000,0.500000
66529453,50,00000110000011000010010001000000100110010000000101,66544328,0,0.024000,0.600000
66529454,52,0000111010001100001001000100000010011001000100100010,66541208,0,0.040000,0.600000
66529460,51,100100001001000011010001100000100100010000011100100,66528221,0,0.040000,0.400000
66529502,51,010110100010000000100100010000001001100100000110001,66560945,0,0.060000,0.600000
66529537,49,1000101000001100001001000100000010011001001000100,66557581,0,0.025000,0.500000
66529557,50,11100101000100001001000101000010011011010010100011,66529996,0,0.040000,0.400000
66529567,52,0010100100010000001101000110000000011001010000111011,66524688,0,0.120000,0.600000
66529589,54,000001110010000000010010101000000110110010000101101100,66552319,0,0.120000,0.600000
66529687,51,100000100000110000101101010000001000100100000011000,66545953,0,0.033333,0.500000
66529716,54,000100001100010100011101000100000010011001000000110110,66529989,0,0.050000,0.500000
66529718,53,00101101000000000001001000100000010011001000001100010,66544315,0,0.023333,0.700000
66529752,48,010011010001101000100100010001000001101101000111,66541212,0,0.040000,0.600000
66529764,52,1011001101000000000110101010000000000000100001011001,66550717,0,0.020000,0.400000
66529765,52,1001011010000000000111010001000000100110010000001101,66524701,0,0.080000,0.400000
66529768,51,000001001000110001100100010000001001100110000010001,66528213,0,0.028571,1.000000
66529772,54,101100001000010100010101001100000000011101000010110101,66528214,0,0.020000,0.400000
66529829,51,100010000000110000100100010000011001100100001010000,66557574,0,0.060000,0.600000
66529870,49,0010101100100001101000110000100100010000011100100,66526598,0,0.026667,0.400000
66529878,51,100010000000110000100100010000001011100100100011000,66529990,0,0.033333,0.500000
66529880,50,01010110001000000100100010000000001000100000011010,66557593,0,0.040000,0.600000
66529945,50,10001011001100001001000100000000110011000001111001,66549116,0,0.026667,0.400000
66530063,55,0000000111000000000010010001000000100110010000001100110,66550718,0,0.060000,0.600000
66530064,53,00101101000101000011010001000000000110010100001010111,66544332,0,0.030000,0.600000
66530069,58,1101100010100011010000110100010000001001000100000011110110,66545948,0,0.026667,0.400000
66530095,50,01010110001000001001000100000000010001000000101010,66541219,0,0.120000,0.600000
66530126,50,01001010001000100010010001000010100110010000011000,66550724,0,0.050000,0.500000
66530161,53,00010100100010000001101000110000000011001010000101011,66534952,0,0.120000,0.600000
66530178,54,010011010100011010000100100010000001001000101000011110,66545951,0,0.025000,0.500000
66530214,54,100000010111011000010010001000000000110010000001000100,66539741,0,0.120000,0.600000
66530216,48,010011010001101000100100010001000001101101000111,66559407,0,0.040000,0.600000
66530265,54,000001110010000000010010101001000110110010000101101100,66531549,0,0.100000,0.500000
66530336,53,01000101010001100001001000100000010011001000001100010,66547567,0,0.040000,0.600000
66530380,54,110010110100001000001110100010000001001100100000011010,66549121,0,0.120000,0.600000
66530384,54,100100001000010100001101001100000000011001000000110101,66534948,0,0.033333,0.500000
66530386,56,01101100101000000000001001000100000010011001000000010011,66557589,0,0.100000,0.500000
66530443,51,001101100010000110100011000001001000100000110001111,66549133,0,0.120000,0.600000
66530462,53,00010100100010000001101000110000000011001010000111011,66557580,0,0.060000,0.600000
66530469,47,00000100001000111010001000000110110110100011101,66528221,0,0.025000,0.500000
66530496,45,111111000000000000100010000001001000100001110,66552322,0,0.060000,0.600000
66530498,54,010110001010001000001101000100000010010001000000111101,66533232,0,0.033333,0.500000
66530555,53,00000111000100000110110001000000100110010001101100000,66552308,0,0.020000,0.400000
66530601,54,000000100100000100000100100010000001001100100000010001,66544321,0,0.024000,0.500000
66530640,52,0000001101000110000100100010000001001100100010010101,66554238,0,0.020000,0.500000
66530673,54,111010011100001010000110100010000001101000100000011110,66560937,0,0.080000,0.800000
66530706,54,001001101110000000011001001100000010010001000010110011,66560947,0,0.060000,0.600000
66530710,49,1011010000000000010010001001000100100100000110001,66547570,0,0.040000,0.400000
66530714,57,010110001110000100000110100010000001001000100000011110110,66542825,0,0.050000,0.500000
66530715,51,100100001001000011010001101000100100010000011100100,66545957,0,0.120000,0.600000
66530720,52,1001101101010000110100011000000001000100000110001011,66545952,0,0.040000,0.600000
66530737,53,00000011001000000001001000100000010011101000010110110,66549124,0,0.040000,0.400000
66530739,49,0000100000010000100100010000001001100100000001010,66536603,0,0.060000,0.600000
66530774,51,010110100000000000100100010010001001100100000110001,66549132,0,0.080000,0.400000
66530797,52,1000011010001000000111010101000000100110010000001100,66541208,0,0.040000,0.600000
66530802,54,010000110100110000011001000100000010011001000000110011,66522935,0,0.040000,0.600000
66530844,52,0010001010001100001000000110000010011001010010100010,66538036,0,0.100000,0.500000
66530845,51,000001001000110001100100010000001001100110000010001,66529985,0,0.040000,0.600000
66530867,52,1001100101110000000001001000100000011011001000000010,66542824,0,0.033333,0.500000
66530879,52,1001101100011010000110100010000001001001101000010110,66542829,0,0.050000,0.500000
66530896,53,00000111000100000110110001000000100110010001101100000,66555784,0,0.050000,0.500000
66530909,51,100010000000110000100100010000001011000100100011000,66522935,0,0.066667,1.000000
66530911,46,0001000110000110100011100000001100100000011110,66545948,0,0.026667,0.400000
66530933,54,010000110100110000011001000100000010011001000100110011,66526604,0,0.040000,0.400000
66530963,50,11100101000100001001000101000010011011010010100011,66536610,0,0.025000,0.500000
66530975,57,101110010010100000000000100100010000011001100100001111011,66555796,0,0.050000,0.500000
66530978,51,100100011001000011010001110000100100011000011100100,66545957,0,0.100000,0.500000
66530988,54,110010000101011010000110100010000001001000100000011111,66529996,0,0.050000,0.500000
66531013,52,0001000100000000000100100010000001001100100000110010,66554240,0,0.050000,0.500000
66531015,54,100000010111011000010010001000000000110010000001000100,66533233,0,0.050000,0.500000
66531029,54,001100101010000000001001000100000010011001001000000110,66539748,0,0.033333,0.500000
66531035,52,0110000100010100011101000100000010010001000000010101,66552319,0,0.120000,0.600000
66531044,48,010101000010000001101000100000000010001000001101,66554237,0,0.025000,0.500000
66531046,53,01000001010001100001001000100000010011001000011100010,66552325,0,0.060000,0.600000
66531051,52,0000100101010110000100100010000001001100100000010001,66524694,0,0.200000,1.000000
66531062,54,110011010100011010000100100010000001001000101000011110,66542835,0,0.040000,0.400000
66531073,52,0000100101010110000100100010000001001100100000010001,66562394,0,0.030000,0.600000
66531074,52,1001011010001000001100100010000001001100100000011001,66544321,0,0.024000,0.600000
66531153,50,00010100100101000110010001000000100110000100000100,66526599,0,0.066667,1.000000
66531156,50,00010100100101000110010001000000100110000100000100,66526599,0,0.033333,0.500000
66531180,55,0000011100100000000100000010000001001100100001010011101,66541222,0,0.025000,0.500000
66531181,52,0010001010001100001000000110000010011001010010100010,66557576,0,0.033333,0.500000
66531215,52,0010110100010000001101000100000000011001010000100011,66529997,0,0.140000,0.700000
66531227,56,11001011101010010100001101000100000010011001100010011001,66559411,0,0.030000,0.600000
66531230,52,1001000110010010110100011000001001000110000111001001,66559405,0,0.100000,0.500000
66531245,51,100100011001000011010001110000100100011000011100100,66539741,0,0.060000,0.300000
66531246,45,101000100000100100010000000001100100000010110,66529993,0,0.050000,0.500000
66531255,55,0111010011100001010000100110010100001001000100000011110,66539741,0,0.080000,0.400000
66531301,51,000001001000110000100100010000001001100100000010001,66522954,0,0.050000,0.500000
66531310,51,101000100010111000110010001000000000110010000000100,66529985,0,0.066667,1.000000
66531315,51,100101011011000011010001100000100100010000011100100,66526604,0,0.040000,0.400000
66531345,52,0011111101000100001001000100000000011001010000101011,66539732,0,0.070000,0.600000
66531376,51,000100100010101000110010001000000000110010000000100,66545957,0,0.120000,0.600000
66531377,49,1000001010101100101001000100000010011001000000100,66529990,0,0.066667,1.000000
66531379,55,1100100111000010100001101000100000010010001000000011000,66557587,0,0.080000,0.400000
66531404,51,100100110001000111010001100000100100010000001000101,66529993,0,0.100000,1.000000
66531414,60,011111100010100001010000110100010010001001000100000011110111,66528230,0,0.033333,0.500000
66531416,53,00000011110101100001001100110000010011001100000100011,66552319,0,0.120000,0.600000
66531419,54,010110001010001000001101000100000000010001000000111101,66529993,0,0.060000,0.600000
66531422,52,1001010110010000110100011000001001000100001111001001,66529993,0,0.080000,0.800000
66531428,52,1011001101001000000110100010000000000000100001011001,66539741,0,0.080000,0.400000
66531432,53,01000101010001100001001000101000010011101000001100010,66529995,0,0.020000,0.400000
66531442,55,1110010011100001011000010000010000001001000100100011110,66547573,0,0.026667,0.400000
66531453,51,100010000000110000100100010000001011100100100011000,66529997,0,0.200000,1.000000
66531454,51,000011100001000001100100010010010011001000000110010,66560939,0,0.020000,0.400000
66531461,48,000001000010001110100010000001101100101001111011,66557581,0,0.030000,0.600000
66531463,51,011010110001000011001000110000000010001001100101010,66559404,0,0.025000,0.500000
66531480,52,1001011010001000001100100010000001001100100000011001,66562398,0,0.100000,0.500000
66531483,52,1001011010001000001100100010000001001100100000011001,66539735,0,0.033333,0.500000
66531498,53,01000101010001100001001000110000010011001010001100010,66545948,0,0.033333,0.500000
66531500,53,01000101010001100001001000100000010011001000001100010,66544328,0,0.030000,0.600000
66531508,53,01000101010001100001001000110000010011001010001100010,66549118,0,0.060000,0.600000
66531537,52,0111000111001110001110100011000001001100101000110010,66541205,0,0.033333,0.500000
66531630,51,000101011001000011010001100000100100010000011100100,66526610,0,0.040000,0.800000
66531631,51,100100011001000011010001110000100100011000011100100,66536616,0,0.060000,0.300000
