ID,genomeSize,genome
4785729,30,000001000100011000000000100011
4786319,30,000000100100000000010000010101
4786320,30,000001000000011000000000100011
4786321,30,000001000100011000000000100011
4786905,30,000000100100100001000010000101
4786909,30,000001000100011000000000100001
4787431,30,000001000100011000000000100011
4788061,30,000000100100100001000010000101
4788063,30,000001000100011000000000100011
4788573,30,000000100100000000010000010101
4789079,30,000001000100011000000000100011
4789081,30,000001000100011000000000100011
4789082,30,000001000100011000000000100011
4789735,30,000001000100011000000000100011
4789736,30,001000100100000000000000010101
4789739,30,000001000100011000000000100011
4789741,30,010100010000100000000000000101
4790414,30,000001000100011000000000100011
4790415,30,000000100100000000010000010101
4790416,30,000000100100000001000010000101
4790419,30,000001000100011000000000100011
4790988,30,000001000100011000000000100011
4790989,30,000001000100011000000000100011
4791502,30,000001000100011000000000100011
4791503,30,000001000100011000000000100011
4791504,30,000000100100100001000010000101
4791505,30,000001000100011000000000100011
4791952,30,010100010000100000000000000101
4791953,30,000000100100100001000010000101
4791954,30,000001000100011000000000100011
4791955,30,000000100100000000010000010101
4791956,30,000000100100001001000010000101
4791957,30,000000101100000000010000010101
4791958,30,000001000100011000000000100011
4791959,30,000000100100000001000010000101
4792584,30,000001000100011000000000100011
4792586,30,000001000100011000000000100011
4792588,30,000001000100011000000000100011
4793058,30,000001000100011000000000100011
4793059,30,000001000100011000000000100001
4793060,30,000001000000011000000000100011
4793062,30,000001000100011000000000100011
4793658,30,000000100100100001000010000101
4793659,30,000000100100100001000010000101
4793660,30,000000100100100001000010000101
4793661,30,000001000100011000000000100011
4793662,30,000001000100011000000000100011
4793663,30,000001000100011000000000100011
4793664,30,000001000100011000000000100001
4793665,30,000000100100100001000010000101
4793666,30,000001000100011000000000100011
4794312,30,000000100100000001000010000101
4794313,30,000001000100011000000000100011
4794314,30,000000100100100001000010000101
4794315,30,000000100100000000010000010101
4794316,30,000001000100011000000000100011
4794817,30,000000100100000000010000010101
4794818,30,000000100100000000010000010101
4794819,30,000001000100011000000000100011
4794820,30,000000100100000000010000010101
4794821,30,000001000100011000000000100011
4794822,30,000000100100100001000010000101
4794823,30,000000100100000001000010000101
4795342,30,000001000100011000000000100011
4795343,30,000000100100100001000010000101
4795344,30,000001000000011000000000100011
4795345,30,000000100100000000010000010101
4795346,30,000001000100011000000000100011
4795347,30,000001000100011000000000100011
4795348,30,000001000100011000000000100011
4795349,30,000001000100011000000000100011
4795350,30,000000100100000000010000010101
4795964,30,000000100100100001000010000101
4795965,30,100001000100011000010000100001
4795966,30,000001000100011000000000100011
4795967,30,000001000100011000000001100011
4795968,30,000001000100011000000000100011
4795969,30,000001000100011000000000100011
4795970,30,000000100100000000010000010101
4796621,30,000000100100000000010000010101
4796622,30,000001000100011000000000100011
4796623,30,000000100100100001000010000101
4796624,30,000001000100011000000000100011
4796625,30,000000100100100001000010000101
4796626,30,000001000100011000000000100011
4796627,30,000001000100011000000000100011
4796628,30,001000100100000000000000010101
4796629,30,000000100100000001000010000101
4797322,30,000001000100011000000000100011
4797323,30,000001000100011000000000100011
4797324,30,000000100100000001000010000101
4797325,30,000001000100011000000000100011
4797857,30,000000100100100001000010000101
4797858,30,000000100100000000010000010101
4797859,30,000001000100011000000000100001
4797860,30,000001000100011000000000100011
4797861,30,000001000100011000000000100011
4797862,30,000000100100000001000010000101
4798415,30,000001000100011000000000100011
4798416,30,000000100100000001000010000101
4798417,30,000001000100011000000000100011
4798418,30,000001000100011000000000100011
4798419,30,000000100100000000010000010101
4798420,30,000001000100011000000000100011
4798421,30,000001000100011000000000100011
4798422,30,000000100100100001000010000101
4798423,30,000001000100011000000000100011
4798424,30,000000101100000000010000010101
4798425,30,000001000100011000000000100011
4799066,30,000000100100100001000010000101
4799067,30,001001000100011000000000100011
4799068,30,000001000100011000000000100011
4799069,30,000001000100011000000000100011
4799070,30,010100010000100000000000000101
4799071,30,000001000100011000000000100011
4799619,30,000001000100011000000000100011
4799620,30,000000100100100001000010000101
4799621,30,000001000100011000000000100011
4799622,30,000000100100100001000010000101
4799623,30,000001000100011000000000100011
4799624,30,000001000100011000000000100011
4799625,30,000001000100011000000000100011
4800226,30,000001000100011000000000100011
4800227,30,000000100100100001000010000101
4800228,30,000001000100011000000000100011
4800229,30,000001000000011000000000100011
4800230,30,000000100100000001000010000101
4800231,30,000001000100011000000000100011
4800232,30,000000100100100001000010000101
4800233,30,000001000100011000000000100011
4800234,30,000000100100000001000010000101
4800923,30,010100010000100000000000000101
4800924,30,000001000100011000000000100011
4800925,30,000000100100000000010000010101
4801459,30,000000100100100001000010000101
4801460,30,000001000100011000000000100001
4801461,30,000000100100100001000010000101
4801462,30,000001000100011000000000100011
4801463,30,000001000100011000000000100011
4801464,30,000001000100011000000000100011

