update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
0,100,0,154,1.540000,0.000000,30.000000,-1,40.000000,40.000000,-1,0,0,54,0,0,0,4,0,0,14.917000,0.149667,0.149667,0.670000,0.970149,-1,-1,-1,-1,-1,0.097186
10,191,0,6306,33.015707,0.000000,30.000000,-1,40.003647,40.003647,-1,7,0,686,0,0,0,489,0,63,7.995709,3.459789,3.459789,0.837696,0.878289,-1,-1,-1,-1,-1,0.104792
20,266,0,11290,42.443609,0.000000,30.000000,-1,40.001240,40.001240,-1,10,0,1281,13,0,371,741,0,127,6.366128,4.131366,4.131366,0.958647,0.941316,-1,-1,-1,-1,-1,0.097338
30,316,0,13711,43.389241,0.000000,30.000000,-1,40.002407,40.002407,-1,22,0,1218,19,0,498,1256,0,263,6.012131,4.441456,4.441456,0.993671,0.918970,-1,-1,-1,-1,-1,0.102363
40,356,0,15915,44.705056,0.000000,30.000000,-1,40.001948,40.001948,-1,18,0,1666,20,0,571,1161,0,192,5.224668,3.744032,3.744032,1.000000,0.933257,-1,-1,-1,-1,-1,0.083750
50,391,0,17944,45.892583,0.000000,30.000000,-1,40.003177,40.003177,-1,16,0,1610,13,0,618,1587,0,204,5.209616,3.878437,3.878437,1.000000,0.937245,-1,-1,-1,-1,-1,0.084511
60,388,0,17818,45.922680,0.000000,30.000000,-1,39.998148,39.998148,-1,17,0,1514,19,0,666,1374,0,197,4.802697,3.648804,3.648804,1.000000,0.932888,-1,-1,-1,-1,-1,0.079455
70,413,0,19159,46.389831,0.000000,30.000000,-1,39.998747,39.998747,-1,13,0,1797,13,0,763,1377,0,161,5.064778,3.740710,3.740710,1.000000,0.944630,-1,-1,-1,-1,-1,0.080636
80,409,0,18428,45.056235,0.000000,30.000000,-1,39.991426,39.991426,-1,24,0,1646,18,0,717,1408,0,286,5.100213,3.836450,3.836450,1.000000,0.915593,-1,-1,-1,-1,-1,0.085148
90,404,0,18316,45.336634,0.000000,30.000000,-1,39.992629,39.992629,-1,21,0,1708,18,0,743,1325,0,252,4.891447,3.599477,3.599477,1.000000,0.920527,-1,-1,-1,-1,-1,0.079394
100,383,0,17195,44.895561,0.000000,30.000000,-1,40.001163,40.001163,-1,24,0,1548,21,0,625,1379,0,313,5.166088,3.829560,3.829560,1.000000,0.908006,-1,-1,-1,-1,-1,0.085299
110,392,0,17709,45.176020,0.000000,30.000000,-1,40.008357,40.008357,-1,19,0,1516,20,0,652,1132,0,257,4.995212,3.752237,3.752237,1.000000,0.921361,-1,-1,-1,-1,-1,0.083058
120,414,0,18361,44.350242,0.000000,30.000000,-1,40.009586,40.009586,-1,29,0,1526,21,0,733,1588,0,325,4.737493,3.610851,3.610851,1.000000,0.900085,-1,-1,-1,-1,-1,0.081417
130,397,0,18046,45.455919,0.000000,30.000000,-1,40.015017,40.015017,-1,22,0,1450,15,0,681,1631,0,292,4.920874,3.676103,3.676103,1.000000,0.911984,-1,-1,-1,-1,-1,0.080872
140,387,0,17727,45.806202,0.000000,30.000000,-1,40.016641,40.016641,-1,16,0,1524,15,0,670,1463,0,183,5.279425,3.854080,3.854080,1.000000,0.922527,-1,-1,-1,-1,-1,0.084139
150,401,0,18233,45.468828,0.000000,30.000000,-1,40.018977,40.018977,-1,19,0,1407,20,0,695,1619,0,236,4.958124,3.714302,3.714302,1.000000,0.916110,-1,-1,-1,-1,-1,0.081689
160,404,0,18187,45.017327,0.000000,30.000000,-1,40.036949,40.036949,-1,22,0,1819,15,0,697,1342,0,262,4.864379,3.549813,3.549813,1.000000,0.907834,-1,-1,-1,-1,-1,0.078854
170,416,0,18954,45.562500,0.000000,30.000000,-1,40.049066,40.049066,-1,18,0,1847,15,0,699,1607,0,222,5.032254,3.544784,3.544784,1.000000,0.918214,-1,-1,-1,-1,-1,0.077800
180,403,0,18300,45.409429,0.000000,30.000000,-1,40.054590,40.054590,-1,17,0,1939,20,0,712,1355,0,211,4.939176,3.535478,3.535478,1.000000,0.918111,-1,-1,-1,-1,-1,0.077858
190,394,0,18120,45.989848,0.000000,30.000000,-1,40.060762,40.060762,-1,18,0,1648,17,0,718,1191,0,226,5.288041,3.793178,3.793178,1.000000,0.913520,-1,-1,-1,-1,-1,0.082479
200,397,0,18214,45.879093,0.000000,30.000000,-1,40.062919,40.062919,-1,14,0,1587,17,0,652,1542,0,168,5.187214,3.784359,3.784359,1.000000,0.921871,-1,-1,-1,-1,-1,0.082485
210,418,0,18775,44.916268,0.000000,30.000000,-1,40.064554,40.064554,-1,21,0,1892,14,0,730,1228,0,245,4.922145,3.487914,3.487914,1.000000,0.906600,-1,-1,-1,-1,-1,0.077654
220,404,0,18529,45.863861,0.000000,30.000000,-1,40.070430,40.070430,-1,20,0,1632,25,0,630,1400,0,254,4.828199,3.524642,3.524642,1.000000,0.904832,-1,-1,-1,-1,-1,0.076850
230,432,0,19661,45.511574,0.000000,30.000000,-1,40.074055,40.074055,-1,19,0,1702,18,0,771,1455,0,235,4.898211,3.529699,3.529699,1.000000,0.910096,-1,-1,-1,-1,-1,0.077556
240,428,0,19494,45.546729,0.000000,30.000000,-1,40.063507,40.063507,-1,21,0,1812,20,0,763,1752,0,257,4.919521,3.522179,3.522179,1.000000,0.903543,-1,-1,-1,-1,-1,0.077331
250,423,0,19259,45.529551,0.000000,30.000000,-1,40.057791,40.057791,-1,19,0,1794,22,0,772,1469,0,254,4.766351,3.386356,3.386356,1.000000,0.905257,-1,-1,-1,-1,-1,0.074377
260,401,0,18236,45.476309,0.000000,30.000000,-1,40.067888,40.067888,-1,16,0,1648,14,0,697,1538,0,184,4.938923,3.489886,3.489886,1.000000,0.909164,-1,-1,-1,-1,-1,0.076741
270,383,0,17691,46.190601,0.000000,30.000000,-1,40.051834,40.051834,-1,16,0,1529,16,0,653,1516,0,198,5.089626,3.770315,3.770315,1.000000,0.907024,-1,-1,-1,-1,-1,0.081625
280,375,0,17295,46.120000,0.000000,30.000000,-1,40.065106,40.065106,-1,14,0,1455,17,0,668,1734,0,182,5.024079,3.678841,3.678841,1.000000,0.910842,-1,-1,-1,-1,-1,0.079767
290,375,0,17265,46.040000,0.000000,30.000000,-1,40.066551,40.066551,-1,14,0,1445,21,0,707,1690,0,178,5.032436,3.699120,3.699120,1.000000,0.910124,-1,-1,-1,-1,-1,0.080346
300,387,0,17458,45.111111,0.000000,30.000000,-1,40.063123,40.063123,-1,18,0,1693,23,0,637,1350,0,227,4.973727,3.501848,3.501848,1.000000,0.899580,-1,-1,-1,-1,-1,0.077627
310,389,0,17532,45.069409,0.000000,30.000000,-1,40.077173,40.077173,-1,20,0,1502,24,0,600,1570,0,262,5.289197,3.815650,3.815650,1.000000,0.895445,-1,-1,-1,-1,-1,0.084662
320,401,0,18353,45.768080,0.000000,30.000000,-1,40.081295,40.081295,-1,16,0,1815,18,0,700,1812,0,207,4.784609,3.304335,3.304335,1.000000,0.905671,-1,-1,-1,-1,-1,0.072197
330,403,0,18444,45.766749,0.000000,30.000000,-1,40.055682,40.055682,-1,18,0,1711,18,0,721,1686,0,206,5.133490,3.696594,3.696594,1.000000,0.899786,-1,-1,-1,-1,-1,0.080770
340,403,0,18272,45.339950,0.000000,30.000000,-1,40.062445,40.062445,-1,22,0,1566,17,0,676,1466,0,279,4.988049,3.569437,3.569437,1.000000,0.894751,-1,-1,-1,-1,-1,0.078726
350,403,0,18724,46.461538,0.000000,30.000000,-1,40.064356,40.064356,-1,14,0,1470,23,0,701,1517,0,172,4.970516,3.638251,3.638251,1.000000,0.910793,-1,-1,-1,-1,-1,0.078307
360,411,0,18884,45.946472,0.000000,30.000000,-1,40.070218,40.070218,-1,20,0,1807,23,0,770,1542,0,244,5.138279,3.682831,3.682831,1.000000,0.897595,-1,-1,-1,-1,-1,0.080155
370,391,0,18044,46.148338,0.000000,30.000000,-1,40.054035,40.054035,-1,18,0,1479,19,0,693,1684,0,212,5.141971,3.725889,3.725889,1.000000,0.896871,-1,-1,-1,-1,-1,0.080737
380,404,0,18504,45.801980,0.000000,30.000000,-1,40.049881,40.049881,-1,18,0,1431,15,0,670,1250,0,226,4.837611,3.514817,3.514817,1.000000,0.899263,-1,-1,-1,-1,-1,0.076739
390,421,0,19039,45.223278,0.000000,30.000000,-1,40.064132,40.064132,-1,16,0,2019,24,0,764,1810,0,212,4.886073,3.257349,3.257349,1.000000,0.903672,-1,-1,-1,-1,-1,0.072028
400,397,0,18224,45.904282,0.000000,30.000000,-1,40.069085,40.069085,-1,16,0,1610,22,0,688,1612,0,189,5.076232,3.563686,3.563686,1.000000,0.903866,-1,-1,-1,-1,-1,0.077633
410,384,0,17267,44.966146,0.000000,30.000000,-1,40.082122,40.082122,-1,21,0,1601,15,0,613,1234,0,279,5.008433,3.479414,3.479414,1.000000,0.888996,-1,-1,-1,-1,-1,0.077379
420,396,0,17827,45.017677,0.000000,30.000000,-1,40.079542,40.079542,-1,17,0,1640,23,0,658,1152,0,217,5.223063,3.615201,3.615201,1.000000,0.899808,-1,-1,-1,-1,-1,0.080306
430,425,0,19245,45.282353,0.000000,30.000000,-1,40.084386,40.084386,-1,16,0,2076,18,0,744,1297,0,215,5.013802,3.403677,3.403677,1.000000,0.903487,-1,-1,-1,-1,-1,0.075166
440,401,0,18234,45.471322,0.000000,30.000000,-1,40.090765,40.090765,-1,25,0,1643,27,0,722,1680,0,296,5.227712,3.809932,3.809932,1.000000,0.877737,-1,-1,-1,-1,-1,0.083788
450,403,0,18689,46.374690,0.000000,30.000000,-1,40.087806,40.087806,-1,17,0,1587,22,0,718,1938,0,201,4.928955,3.600172,3.600172,1.000000,0.897665,-1,-1,-1,-1,-1,0.077632
460,416,0,19089,45.887019,0.000000,30.000000,-1,40.099219,40.099219,-1,16,0,1770,21,0,746,1546,0,187,5.005631,3.508792,3.508792,1.000000,0.900244,-1,-1,-1,-1,-1,0.076466
470,398,0,17935,45.062814,0.000000,30.000000,-1,40.105771,40.105771,-1,24,0,1545,13,0,693,1157,0,314,5.132758,3.753339,3.753339,1.000000,0.882451,-1,-1,-1,-1,-1,0.083291
480,400,0,18222,45.555000,0.000000,30.000000,-1,40.115520,40.115520,-1,16,0,1522,25,0,708,1369,0,216,4.934619,3.489071,3.489071,1.000000,0.898955,-1,-1,-1,-1,-1,0.076590
490,392,0,17848,45.530612,0.000000,30.000000,-1,40.126793,40.126793,-1,17,0,1535,25,0,683,1345,0,227,5.295241,3.707310,3.707310,1.000000,0.895647,-1,-1,-1,-1,-1,0.081425
500,400,0,18694,46.735000,0.000000,30.000000,-1,40.102653,40.102653,-1,16,0,1548,28,0,714,1455,0,207,5.027812,3.592188,3.592188,1.000000,0.896848,-1,-1,-1,-1,-1,0.076863
510,415,0,19022,45.836145,0.000000,30.000000,-1,40.088109,40.088109,-1,18,0,1596,19,0,725,1798,0,221,4.965057,3.552212,3.552212,1.000000,0.895101,-1,-1,-1,-1,-1,0.077498
520,420,0,19107,45.492857,0.000000,30.000000,-1,40.090804,40.090804,-1,20,0,1599,19,0,726,1668,0,263,5.142917,3.621823,3.621823,1.000000,0.890360,-1,-1,-1,-1,-1,0.079613
530,424,0,19342,45.617925,0.000000,30.000000,-1,40.093320,40.093320,-1,17,0,1742,20,0,709,1846,0,225,4.837168,3.416089,3.416089,1.000000,0.894517,-1,-1,-1,-1,-1,0.074885
540,400,0,18088,45.220000,0.000000,30.000000,-1,40.078450,40.078450,-1,22,0,1701,26,0,663,1581,0,282,4.930934,3.463232,3.463233,1.000000,0.880978,-1,-1,-1,-1,-1,0.076586
550,400,0,18935,47.337500,0.000000,30.000000,-1,40.097914,40.097914,-1,9,0,1729,16,0,749,1596,0,103,5.232078,3.668755,3.668755,1.000000,0.909846,-1,-1,-1,-1,-1,0.077502
560,388,0,17821,45.930412,0.000000,30.000000,-1,40.083721,40.083721,-1,18,0,1675,22,0,664,1235,0,234,5.102185,3.518703,3.518703,1.000000,0.887580,-1,-1,-1,-1,-1,0.076609
