ID,genomeSize,genome
166369830,30,000001000010001000100010001010
166369832,30,000001010000001000111010001000
166373040,30,000101000010001000100010101010
166373048,30,000001000000001000111010001000
166373050,30,000001100010001000100010101010
166373052,30,000001000001001010111010001000
166374783,30,000001000000001000111010001000
166374785,30,010001110000111100100111100010
166374786,30,000001000010001000100010001010
166374793,30,010000110100101010100111100010
166374796,30,000001000010001000000010001010
166374802,30,000001000000001000111000001000
166376411,30,000001000010001000100010000010
166376413,30,000001000010001000100010001010
166376414,30,010000110100101010100111100010
166376416,30,000001000000001000111010001000
166376417,30,000001000010001000100110000010
166376428,30,000001000010001000100110000010
166376429,30,000101000010001000100010001010
166376433,30,000001000000001000111010001000
166376434,30,000001000010001000100010001010
166378241,30,001001000000001000100010000000
166378242,30,000101000010001000100010001010
166378245,30,000001000001001000111010001000
166378250,30,001001000000101000100010000000
166378254,30,000001000010001000100010001010
166378258,30,000001000001001010111010001000
166379967,30,000001000000001000111010001000
166379968,30,000001000010001000100110100010
166379969,30,000001000010001000100010001010
166379971,30,000001000010001000100010001010
166379972,30,010000110100101100100111100010
166379974,30,010001110000101100100111100010
166379976,30,000001000010001000100010000010
166379979,30,000001000010001000100010001010
166381663,30,000001000000001000011010001000
166381664,30,001001000000101000100010000000
166381668,30,000001000010001000100110000010
166381670,30,000001000010001000100010001010
166381672,30,000001000010001000100010001010
166381673,30,000001000000001000111010001000
166381675,30,000001000010001000100010001010
166381676,30,010001110000111100100111100010
166381677,30,010001110000111100100111100010
166381680,30,000001000000001000111000001000
166383250,30,000001000000001000111010001000
166383252,30,000001000000001000111010001000
166383255,30,010000110100101100100111100010
166383259,30,000001000000001000111010001000
166383263,30,000001000001001000111010001000
166383264,30,000001000001001000111010001000
166383265,30,000001000010001000100010000010
166383266,30,000001000000001000111010001000
166383267,30,000001000000001000111010001000
166384898,30,010001110000101100100111100010
166384900,30,000001000000001000111010001000
166384901,30,000001000010001000100010001010
166384903,30,001001000000001000100010000000
166384908,30,000001000001001010111010001000
166384910,30,010001110000101100100111100010
166384912,30,000001000000001000011010001000
166384915,30,000001000010001000100010001010
166384917,30,000001000000001000111000001000
166384918,30,000001000000001000111010001000
166384920,30,000001000000001000111010001000
166386787,30,000001000010001000100010001010
166386788,30,000001000000001000111010001000
166386789,30,000101000010001000100010001010
166386791,30,000001000010001000100010001010
166386793,30,000001000000001000111010001000
166386795,30,001001000000001000100010000000
166386797,30,000001000000001010111010001000
166386799,30,000001000000001000111000001000
166386800,30,000001000010001000100010001010
166388496,30,001001000000101000100010000000
166388497,30,010001110000101100100111100010
166388498,30,000001000010001000100110100010
166388499,30,000001000000001000111010001000
166388500,30,001001000000101000100010000000
166388503,30,000001000010001000100010001010
166388506,30,010001110000101100100111100010
166388507,30,000001000000001000111010001000
166388509,30,001001000000001000100010000000
166390025,30,000001000001001000111010001000
166390027,30,010000110100101000100111100010
166390028,30,001001000000101000100010000000
166390029,30,000001000010001000100010001010
166390030,30,001001000000101000100000000000
166390031,30,000001000000001000111010001000
166390032,30,010001100001001000111000001000
