ID,genomeSize,genome
83292680,30,000000000000000001000101001011
83294478,30,000000000000000101000100001011
83294479,30,001000000000000100110001001011
83296502,30,000000000100000101000101001011
83296508,30,001000000000000100110001001011
83296509,30,001000000000000100110001001011
83296513,30,000000110000000101000101001011
83298176,30,001000000000000100110001001011
83298179,30,001000000000001100100101001111
83298182,30,001000000000000100110001001011
83298190,30,000000000000000101000100001011
83298192,30,000000000000000101000101001011
83300055,30,000000000000000001000101001011
83300056,30,000000000000000001000100001011
83300057,30,101000000000000100100101001011
83300058,30,000000010000000101000101001011
83300060,30,000001000000000101000101001011
83301631,30,001000000000001100100101001111
83301634,30,000000010000010101000101001011
83301635,30,000000010000000101000101001011
83301636,30,000001000000000101000101001011
83301638,30,101000000000000100100101001011
83301639,30,000000000000000001000101001011
83301640,30,000000010000000101000101001011
83301645,30,000000000100000101000101001011
83301646,30,000000000000000101000101001011
83303328,30,000000000000000101000101001011
83303332,30,001000010000000100100100001011
83303333,30,001000000000000100110001001011
83303334,30,000000000000000001000101001011
83303338,30,000000000000000001000101001011
83303343,30,000000000000000101000100001111
83305022,30,000000000100000101000101001011
83305028,30,000000010000000101000101001011
83305031,30,000000000000000001000100001011
83305032,30,000000000000000101000101001011
83305034,30,001000010000000100100100001011
83305036,30,000000000000000101000101001011
83306490,30,001000000000000100110001001011
83306491,30,000000000000000001000101001011
83306492,30,001000000000000100110001001011
83306499,30,000000000000000001000101001011
83306500,30,001000000000001100100101001111
83306501,30,001000010000000100100100001011
83306502,30,001000000000001100100101001111
83306504,30,000000000000000001000101001011
83306505,30,101000000000000100100101001011
83306506,30,001000000000001100100101001111
83306507,30,001000000000001100100101001111
83308132,30,001000000000000100110001001011
83308134,30,000000000000000001000101001011
83308138,30,000000000000000101000101001011
83308139,30,000000010000000101000101001011
83308140,30,000000000000000001000100001011
83308142,30,001100000000000100100101001011
83308143,30,000000000000000101000101001011
83308145,30,000000000000000001000100001011
83308147,30,101000000000000100100101001011
83308148,30,000000000000000101000100001011
83309678,30,001000000000000100110001001011
83309685,30,000000010000000101000101001011
83309687,30,000000010000000101000101001011
83309690,30,001000000000000100110001001011
83309691,30,001000000000000100110001001011
83311152,30,000000000000000101000101001011
83311153,30,000000010000000101000101001011
83311154,30,000000000000000001000101001011
83311155,30,000000000100000101000101001011
83311156,30,000000000000000101000100001011
83311158,30,001000000000000100110001001011
83311161,30,000000000100000101000101001011
83311163,30,000000000100000101000101001011
83311164,30,001000000000000100110001001011
83311165,30,000000000000000101000101001011
83311166,30,001000000000001100110001001011
83311167,30,000000000000000001000101001011
83311168,30,000000000000000101000100001011
83311169,30,000000000000000001000101001011
83312899,30,001000000000001100100101001111
83312901,30,000001000000000101000101001011
83312902,30,000000000000000001000100001011
83312903,30,000000010000000101000101001011
83312904,30,000000000100000101000101001011
83312905,30,000000010000000101000101001011
83312907,30,000000000000000101000100001011
83312909,30,000000000000000001000101001011
83312911,30,001000000000000100110001001011
83312915,30,000000000010000101000101001011
83312917,30,000000000000000001000101001011
83312918,30,000000000000000001000101001011
83312919,30,000000000000000001000101001011
83312920,30,000000000000000101000100001011
83312922,30,000000001000000001100101000010
83312923,30,101000000000000100100101001011
83314685,30,001000000000001100110001001011
83314687,30,000000000000000001000101001011
83314688,30,000000000000000001000101001011
83314690,30,000000000000000101000101001011
83314691,30,000000010000000101000101001011
83314692,30,001000000000000100110001001011
83314694,30,000000000000000101000101001011
83314695,30,001000000000000100110001001011
83314696,30,000000000000000101000101001011
83314697,30,000000010000000101000101001011
83314698,30,000000000100000101000100001011
83314703,30,000000000000000101000100001011
83314704,30,001100000000000100100101001011
83314705,30,000000010100000101000101001011
83314708,30,001000000000001100100101001111
83314709,30,000000000000000001000101001011
83316629,30,001000000000000100110001001011
83316630,30,001100000000000100100101001011
83316631,30,000000000000000101000101001011
83316632,30,001000000000000100100101001011
83316634,30,000000001000000001100101000010
83316637,30,000000000100000101000101001011
83316638,30,000000010000000101000101001011
83316639,30,001000000000000100110001001011
83316640,30,101000000000000100100101001011
83316641,30,001000000000001100110001001011
83316642,30,000000000000000101000100001011
83316643,30,000000010000010101000101001011
83316644,30,000000010000000101000101001011
83316645,30,000000000000000001000101001011
83318416,30,000000000000000101000101001011
83318417,30,000000010000000101000101001011
83318418,30,000000000000000101000100001011
83318419,30,000001000000000101000101001011
83318420,30,000000000000000101000101001011
83318421,30,000000000100000101000101001011
83318422,30,000000000000000101000100001011
83318423,30,001000000000000100110001001011
83318424,30,000000000000000001000101001011
83318425,30,001000000000001100100101001111
83318427,30,001000000000000100110001001011
83318428,30,000000000000000101000100001011
83318429,30,000000000000000101000100001011
83318430,30,000000000000000101000101001011
83318431,30,000000000000000101000100001011
83318432,30,000000000000000001000101001011
83318433,30,000000000000000101000101001011
83318434,30,001000000000001100100101001111
83318435,30,001000000000001100100101001111
83318436,30,001000010000000100100100001011
83318437,30,000000000000000101000101001011
83318438,30,000000001000000001100101000010
83320342,30,001000000000000100100101001011
83320343,30,000000000000000001000101001011
83320344,30,000000000000000101000101001011
83320345,30,000000000000000101000100001011
83320346,30,001000010000000101100100001011
83320347,30,000000000000000101000100001011
83320348,30,000000001000000001100101000010
83320350,30,001100000000000100100101001011
83320351,30,000000000000000101000100001011
83320352,30,001000010000000100100100001011
83320354,30,000000000000000101000100001011
83320355,30,000000000000000001000101001011
83320356,30,000000010000000101000101001011
83320358,30,001100000000000100100101001011
83320359,30,000000000000000001000101001011
83320361,30,000000000100000101000101001011
83320362,30,000000000000000001000100001011
83322114,30,000000010000000101000101001011
83322115,30,000000000000000001000101001011
83322117,30,000000000100000101000101001011
83322118,30,000000000000000101000100001111
83322119,30,000000000000000101000101001011
83322120,30,000000000100000101000101001011
83322121,30,000000000100000101000101001011
83322122,30,001000000000000100110001001011
83322123,30,000000000000000001000100001011
83322124,30,000000000000000101000100001011
83322125,30,101000000000000100100101001011
83323702,30,001000000000001100100101001111
83323703,30,000000010000000101000101001011
83323704,30,000001000000000101000101001011
83323705,30,000000010000000101000101001011
83323706,30,000000010000000101000101001011
83323707,30,001000000000000100100101001011
83323708,30,000000000000000101000101001011
83323709,30,101000000000000100100101001011
83323710,30,000000000000000001000101001011
83323711,30,000000000000000001000101001011
83323712,30,001000000000000100110001001011
83323713,30,001000000000001100100101001111
83323714,30,000000010000000101000101001011
83323715,30,000000000000000001000101001011
83323716,30,000000000000000001000101001011
83325347,30,000000000100000101000101001011
83325348,30,001000000000000100110001001011
83325349,30,000000010000000101000101001011
83325350,30,101000000000001100100101001011
83325351,30,001000000000000100110001001011
83325352,30,101000000000000100100101001011
83325353,30,001000000000001100100101001111
83325354,30,000000000000000101000101001011
83325355,30,000000000000000101000101001011
83325356,30,000000000000000101000101001011
83325357,30,000000000100000101000101001011
83325358,30,000000000100000101000101001011
83325359,30,000000000000000101000100001011
83325360,30,001000000000001100100101001111
83325361,30,001000000000000100110001001011
83326753,30,000000000100000101000101001011
83326754,30,101000000000000100100101001011
83326755,30,001000000000000100100101001011
83326756,30,000000000000000101000101001011
83326757,30,000000000000000001000101001011
83326758,30,000000000000000001000100001011
83326759,30,000000010000000101000101001011
83326760,30,000000010000000101000101001011
83326761,30,000000000100000101000101001011
83326762,30,000000001000000001100101000010
83326763,30,000000000000000001000101001011
83326764,30,001000000000001100100101001111
83326765,30,001000000000001100100101001111
83326766,30,001100000000000100100101001011
83326767,30,001100000000000100100101001011
83326768,30,000000000000000001000100001011
83326769,30,000000000000000101000100001011
83326770,30,000000010000000101000101001011
83326771,30,000000000000000001000101001011
83328306,30,000000001000000001100101000010
83328307,30,001000010000000100100100001011
83328308,30,000000000000000101000100001011
83328309,30,001000000000001100110001001011
83328310,30,000000000000000001000101001011
83328311,30,001100000000000100100101001011
83328312,30,000001000000000101000101001011
83328313,30,000001000000000101000101001011
83328314,30,000000000000000101000101001011
83328315,30,000000010000010101000101001011
83328316,30,001000000000000100110001001011
83328317,30,000000010000000101000101001011
83328318,30,000000000000000101000100001111
83328319,30,000000010000000101000101001011
83328320,30,001000010000000101100100001011
83328321,30,000000000000000001000101001011
83328322,30,000000001000000001100101000010
83328323,30,000000000000000101000101001011
83328324,30,000000000000000001000101001011
83328325,30,000000000100000101000101001011
83328326,30,001000000000000100110001001011
83328327,30,000000000100000101000101001011
83329936,30,000000000000000101000101001011
83329937,30,001100000000000100100101001011
83329938,30,101000000000000100100101001011
83329939,30,000000000100000101000101001011
83329940,30,000000000000000001000101001011
83329941,30,000000000010000101000101001011
83329942,30,001000000000001100100101001111
83329943,30,000000110000000101000101001011
83329944,30,001000000000000100110001001011
83329945,30,001000000000001100110001001011
83329946,30,000000000100000101000101001011
83329947,30,000000000000000001000100001011
83329948,30,000000000000000001000100001011
83329949,30,001000010000000100100100001011
83329950,30,000000010000000101000101001011
83329951,30,001000000000000100110001001011
83329952,30,000000010000000101000101001011
83329953,30,001000000000001100100101001111
83329954,30,001000000000001100100101001111
83329955,30,000000010000000101000101001011
83329956,30,000000010000000101000101001011
83329957,30,001000000000000100110001001011
83329958,30,000000000000000101000100001011
83329959,30,000000000100000101000101001011
83329960,30,000000000100000101000101001011
83329961,30,000000000000000001000101001011
83329962,30,000000000000000101000101001011
83329963,30,000000000000000001000101001011
83329964,30,000000001000000001100101000010
83329965,30,000000001000000001100101000010
83332096,30,000000000000000001000101001011
83332097,30,000000000000000101000101001011
83332098,30,000000000010000101000101001011
83332099,30,000000000000000001000101001011
83332100,30,000000001000000001100101000010
83332101,30,000000000100000101000101001011
83332102,30,101000000000000100100101001011
83332103,30,000000010000000101000101001011
83332104,30,000000000000000001000101001011
83332105,30,000000000000000101000100001011
83332106,30,000000000000000001000101001011
83332107,30,001000010000000100100100001011
83332108,30,000000000000000101000101001011
83332109,30,000000000000000101000101001011
83332110,30,000000010000000101000101001011
83332111,30,000000000000000001000101001011
83332112,30,000000000000000101000101001011
83332113,30,000000000000000001000101001011
83332114,30,101000000000000100100101001011
83332115,30,000000110000000101000101001011
83332116,30,001000000000000100110001001011
83332117,30,000001000000000101000101001011
83332118,30,000000000001000101000101001011
83334135,30,000000000000000001000101001011
83334136,30,000000010000000101000101001011
83334137,30,101000000000000100100101001011
83334138,30,000000000000000101000101001011
83334139,30,000000000000000101000101001011
83334140,30,000000010000000101000101001011
83334141,30,000000000000000001000100001011
83334142,30,000000000100000101000101001011
83334143,30,001000010000000100100100001011
83334144,30,000000110000000101000101001011
83334145,30,000000000100000101000101001011
83334146,30,000000000000000001000100001011
83334147,30,001000000000001100100101001111
83335715,30,000000010000000101000101001011
83335716,30,001000000000000100110001001011
83335717,30,000000000000000101000101001011
83335718,30,000000000000000101000100001011
83335719,30,000000000100000101000101001011
83335720,30,000000000000000101000100001011
83335721,30,000000000000000001000101001011
83335722,30,001000000000000100110001001011
83335723,30,000000000100000101000101001011
83335724,30,001000000000001100110001001011
83335725,30,000000000100000101000101001011
83335726,30,001000000000000100110001001011
83335727,30,000000000000000001000101001011
83335728,30,000000010000000101000101001011
83335729,30,000000000000000101000101001011
83335730,30,000000010100000101000101001011
83335731,30,000000010000000101000101001011
83335732,30,001000000000000100100101001011
83335733,30,000000000000000101000100001011
83335734,30,000000000000000101000100001011
83335735,30,000000000000000001000100001011
83335736,30,000000010000000101000101001011
83335737,30,001000000000000100110001001011
83337665,30,000000000000000001000101001011
83337666,30,001000000000000100110001001011
83337667,30,000000000100000101000101001011
83337668,30,000000000000000101000100001011
83337669,30,001000000000001100100101001111
83337670,30,000000010000000101000101001011
83337671,30,000000000000000001000100001011
83337672,30,000000000000000101000100001011
83337673,30,000000000000000001000101001011
83337674,30,000000010000000101000101001011
83337675,30,000000000000000101000101001011
83337676,30,101000000000000100100101001011
83337677,30,000000010000000101000101001011
83337678,30,000000001000000001100101000010
83337679,30,001000000000000100100101001011
83337680,30,000000010000000101000101001011
83337681,30,000000000000000101000100001011
83337682,30,001000000000000100100101001011
83337683,30,000000000000000101000101001011
83337684,30,000000000000000101000100001011
83337685,30,001000000000001100100101001111
83337686,30,001000000000001100110001001011
83337687,30,000000000000000101000101001011
83337688,30,000000000000000101000100001011
83337689,30,000000000000000101000101001011
83337690,30,000000000000000001000101001011
83337691,30,001000000000000100110001001011
83339560,30,000000000000000001000101001011
83339561,30,001000000000000100110001001011
83339562,30,000000000000000001000101001011
83339563,30,001000010000000100100100001011
83339564,30,000000001000000001100101000010
83339565,30,000000000000000001000101001011
83339566,30,001000000000000100110001001011
83339567,30,001100000000000100100101001011
83339568,30,001100000000000100100101001011
83339569,30,000000000000000001000101001011
83339570,30,000000000000000101000101001011
83339571,30,000000001000000001100101000010
83339572,30,000000010000000101000101001011
83339573,30,001100000000000100100101001011
83339574,30,000000000000000001000101001011
83339575,30,000000000100000101000101001011
83339576,30,000000000000000001000101001011
83341240,30,000000000000000001000101001011
83341241,30,000000000000000001000101001011
83341242,30,000000000000000101000100001011
83341243,30,000000000000000101000101001011
83341244,30,001000000000000100110001001011
83341245,30,001000000000000100110001001011
83341246,30,000000000000000101000101001011
83341247,30,000000010000000101000101001011
83341248,30,000000000000000101000100001011
83341249,30,000000010000000101000101001011
83341250,30,001000000000000100110001001011
83341251,30,000000010000000101000101001011
83341252,30,000000001000000001100101000010
83341253,30,000000001000000001100101000010
83341254,30,001000000000000100100101001011
83341255,30,000000000000000101000101001011
83341256,30,000000000000000101000100001011
83341257,30,000000000000000101000100001011
83341258,30,000000000100000101000101001011
83343073,30,001000000000001100100101001111
83343074,30,000000010000010101000101001011
83343075,30,001000000000000100110001001011
83343076,30,000000000000000001000101001011
83343077,30,000001000000000101000101001011
83343078,30,000000000000000101000100001011
83343079,30,000000000000000001000101001011
83343080,30,000000000000000001000101001011
83343081,30,001000000000000100110001001011
83343082,30,101000000000000100100101001011
83343083,30,001000000000000100110001001011
83343084,30,001000000000001100100101001111
83343085,30,001000010000000100100100001011
83343086,30,000000000000000001000100001011
83343087,30,000000000000000101000101001011
83343088,30,001000000000001100100101001111
83343089,30,000000000000000001000100001011

