ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
59100572,86,00000000101111011011111111100100001011000110011011101110101010101001000101101101101110,59110052,0,0.080000,0.400000
59100603,94,1010001001111001001101011110110000100100010001100110010100100110001001110011000100010100001100,59102127,0,0.120000,0.600000
59100645,83,00000001011110110111111111011000010010001100100011001100000001011000001011011011011,59112119,0,0.025000,0.500000
59100729,85,0000000101110011011111111101100001001000100000001100110000110101101000101110101101110,59110052,0,0.100000,0.500000
59100813,92,01000101111100100110111111011000010010001000110011001011000011000100111001100010001010000110,59110770,0,0.060000,0.600000
59100818,93,010001001111001001101011110110000100100010001100110010100100110001001110011000100010100001100,59105773,0,0.120000,0.600000
59100830,85,0000000010111101101111110110110000100100011001000110011000001010110000010110110110110,59099827,0,0.100000,1.000000
59100851,85,0000000101111011011111111100100001011000110011011101110101010101001000101101101101110,59107467,0,0.026667,0.400000
59100859,92,01000100111100100110101111011000010010001000110011001010010011000100111001100010001010000110,59099829,0,0.200000,1.000000
59100860,84,000000001011110110111111011011000010010001100100011001100000101011000001011011011011,59105106,0,0.040000,0.400000
59100950,92,01000100111100101110001111010000010001001000010011011010000011000100111101100110001110000110,59111468,0,0.026667,0.400000
59100976,83,00000010111101101111111100110000100100010000000110011000011010111000011101101101010,59099834,0,0.100000,0.500000
59100991,95,00100010011110010011010111001100001001000100011001100101001001000010011100110001000101000001001,59100980,0,0.040000,0.600000
59101019,93,010001001111001001101011110110000100100010001100110010100100110001001110011000100010100001100,59102127,0,0.120000,0.600000
59101044,85,0000001101111011011111111000100001001000110011011111110100010101001000101101101101111,59105107,0,0.100000,0.500000
59101046,92,01000101111100100110111111011000010010001000110111001011000011000100111001100010001010000110,59105107,0,0.120000,0.600000
59101068,89,11101111001101011111110110001100100010101000010011100000110001000011011001011011010100011,59108358,0,0.100000,0.500000
59101078,85,0000000001011110110111111111011000010010000100100011001100000101011000001011011011011,59103931,0,0.080000,0.400000
