update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
0,100,0,157,1.570000,0.000000,30.000000,-1,40.000000,40.000000,-1,0,0,57,0,0,0,0,0,0,15.810000,0.156667,0.156667,0.680000,1.000000,-1,-1,-1,-1,-1,0.099788
10,183,0,5839,31.907104,0.000000,30.000000,-1,40.002740,40.002740,-1,11,0,803,0,0,0,411,0,123,8.811020,3.657104,3.657104,0.819672,0.851129,-1,-1,-1,-1,-1,0.114617
20,182,0,7501,41.214286,0.000000,30.000000,-1,40.010532,40.010532,-1,8,0,600,13,0,263,377,0,72,7.837954,5.114427,5.114427,0.890110,0.918077,-1,-1,-1,-1,-1,0.124094
30,163,0,7668,47.042945,0.000000,30.000000,-1,40.012520,40.012520,-1,3,0,637,4,0,255,529,0,30,6.962245,5.313828,5.313828,0.969325,0.977187,-1,-1,-1,-1,-1,0.112957
40,146,0,6566,44.972603,0.000000,30.000000,-1,40.009747,40.009747,-1,8,0,658,10,0,312,311,0,103,7.656781,5.767877,5.767877,0.993151,0.934224,-1,-1,-1,-1,-1,0.128253
50,121,0,5594,46.231405,0.000000,30.000000,-1,40.000894,40.000894,-1,2,0,577,12,0,205,220,0,27,8.140771,6.101653,6.101653,1.000000,0.971977,-1,-1,-1,-1,-1,0.131981
60,109,0,5020,46.055046,0.000000,30.000000,-1,40.001394,40.001394,-1,5,0,389,4,0,183,288,0,62,7.721376,6.223578,6.223578,1.000000,0.939930,-1,-1,-1,-1,-1,0.135133
70,100,0,4662,46.620000,0.000000,30.000000,-1,40.012656,40.012656,-1,3,0,367,6,0,187,239,0,41,8.443700,6.822967,6.822967,1.000000,0.956655,-1,-1,-1,-1,-1,0.146353
80,90,0,3884,43.155556,0.000000,30.000000,-1,40.029866,40.029866,-1,8,0,413,10,0,153,121,0,82,8.208630,5.976556,5.976556,1.000000,0.892671,-1,-1,-1,-1,-1,0.138489
90,80,0,3474,43.425000,0.000000,30.000000,-1,40.019862,40.019862,-1,8,0,284,10,0,112,150,0,106,8.016417,6.441917,6.441917,1.000000,0.883078,-1,-1,-1,-1,-1,0.148346
100,81,0,3884,47.950617,0.000000,30.000000,-1,40.029609,40.029609,-1,2,0,277,4,0,125,73,0,24,8.637407,7.123909,7.123909,1.000000,0.955914,-1,-1,-1,-1,-1,0.148568
110,86,0,3854,44.813953,0.000000,30.000000,-1,40.037104,40.037104,-1,5,0,363,5,0,139,65,0,55,8.250194,6.439729,6.439729,1.000000,0.926632,-1,-1,-1,-1,-1,0.143699
120,78,0,3630,46.538462,0.000000,30.000000,-1,40.012948,40.012948,-1,4,0,259,5,0,142,171,0,48,7.906496,6.602051,6.602051,1.000000,0.929146,-1,-1,-1,-1,-1,0.141862
130,71,0,3418,48.140845,0.000000,30.000000,-1,40.026331,40.026331,-1,0,0,352,8,0,121,110,0,0,9.237277,6.959906,6.959906,1.000000,0.978883,-1,-1,-1,-1,-1,0.144574
140,76,0,3490,45.921053,0.000000,30.000000,-1,40.020057,40.020057,-1,6,0,212,2,0,134,143,0,82,9.203684,7.770000,7.770000,1.000000,0.902383,-1,-1,-1,-1,-1,0.169203
150,79,0,3744,47.392405,0.000000,30.000000,-1,40.058226,40.058226,-1,0,0,481,6,0,126,42,0,0,9.073101,6.412131,6.412131,1.000000,0.973826,-1,-1,-1,-1,-1,0.135299
160,76,0,3240,42.631579,0.000000,30.000000,-1,40.052778,40.052778,-1,9,0,358,5,0,139,147,0,106,8.591930,6.451930,6.451930,1.000000,0.865021,-1,-1,-1,-1,-1,0.151342
