ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
16594812,41,00001000000000000000000000000001001011011,16616103,0,0.198413,1.000000
16594904,48,111110101000000000000000000000000000000010011100,16586083,0,0.040000,0.800000
16594925,38,10001110000000000001000001000010000010,16612640,0,0.020000,0.600000
16595069,47,01001000001000000000000000000001000001000000011,16619454,0,0.028000,0.700000
16595085,43,0000010000000000000000000000010010000001011,16609010,0,0.040000,0.600000
16595127,49,1000011000000000000000001000010000001001010100110,16599294,0,0.030000,0.600000
16595151,47,11100111100000000000000000000000000001001000110,16612639,0,0.120000,0.600000
16595168,41,10000000000000000000000000000000100100100,16607281,0,0.053333,0.800000
16595239,47,01001000001000000000000000000001000001000000011,16605690,0,0.100000,0.500000
16595288,42,011100001000000000000000000000000000010010,16612635,0,0.040000,0.600000
16595290,44,11101001000000000000000000000000001000001011,16622486,0,0.050000,0.500000
16595375,42,011100000000000100000000000000000000010010,16599294,0,0.030000,0.600000
16595412,47,10101110000100000000000000000000000000001000011,16602352,0,0.053333,0.800000
16595413,43,0111000010000000000100000000000000000100100,16607270,0,0.020000,0.800000
16595415,44,10111100011000000000000000000000000000100101,16616117,0,0.040000,0.800000
16595490,41,00000000000000000000000000000000100000011,16597991,0,0.053333,0.800000
16595629,42,110000000000010000000000000000000100100110,16624258,0,0.060000,0.600000
16595675,43,1111001100000000000000001000000011000010011,16609004,0,0.025000,0.500000
16595718,42,011101000100000000001000000000000000010010,16610845,0,0.032000,0.800000
16595741,43,0001100000000000000000000000000000000010010,16586092,0,0.200000,0.800000
16595828,42,011100001000000000000000000000000000010010,16610838,0,0.080000,0.800000
16595887,40,0100000000000000000000000000000101010001,16609008,0,0.040000,0.800000
16595965,43,0001100000000000000000000000000000000010010,16617835,0,0.060000,0.800000
16595971,43,0000000000000000000000000000010010001001011,16593033,0,0.040000,0.600000
16595975,40,0111000000000000010000000000000000001001,16614500,0,0.025000,0.500000
16595988,47,10000100000000000001000000000000100101100100111,16629106,0,0.050000,0.500000
16596007,44,01001100100100000000000000000010010010000010,16593044,0,0.050000,1.000000
16596008,46,1100111100100000000000000000000000000101000110,16591210,0,0.140000,0.700000
16596022,47,11001010010100000000000000000000000000101001011,16627620,0,0.080000,0.800000
16596023,38,10001000000000000000000000000010000010,16607279,0,0.080000,0.800000
16596042,42,001100001000000000000000000000000000010010,16591210,0,0.200000,1.000000
16596044,42,001100001000000000000000000010000000010010,16612628,0,0.035000,0.700000
16596075,43,1110010000000000000000000000000001001001100,16617838,0,0.046667,0.700000
16596213,41,10100000000000000000000000000000100100110,16617840,0,0.160000,0.800000
16596214,42,000100000000000010000000100000000000010000,16610839,0,0.040000,0.600000
16596244,48,001110000100000000000000000000000000000101111111,16596218,0,0.033333,0.500000
16596333,43,1100000000000000000000000000000001001001000,16621124,0,0.050000,0.500000
16596345,43,0011100000000000000000000000000000000110010,16607261,0,0.040000,0.800000
16596429,43,1010100001010000000000000000000000000010110,16594631,0,0.046667,0.700000
16596451,51,110111000000000010000000000000000010000110000100010,16605698,0,0.030000,0.600000
16596534,47,11001010010100000000000000000000000000101001011,16587952,0,0.120000,0.600000
16596582,43,0000010000000000000000000000010010000001011,16599291,0,0.035000,0.700000
16596594,42,000100000000000000000000100000000000010000,16624263,0,0.070000,0.700000
16596596,42,011100000000000000000000000000000000010010,16591212,0,0.066667,1.000000
16596615,44,01011000000000000000000010000010010001100010,16616116,0,0.046667,0.700000
16596627,43,0100100000000000000000000000010010000000010,16604020,0,0.160000,0.800000
16596639,42,110000100000001000000000010000000100100100,16616101,0,0.070000,0.700000
16596648,42,011100000000000000000000000000000000010010,16614489,0,0.026667,0.800000
16596661,41,00000000000000000000000000000100100000011,16610843,0,0.070000,0.800000
16596662,41,00000000000000000000000000000100100000011,16604028,0,0.032000,0.700000
16596665,42,011100001000000000000000000000010000010010,16625972,0,0.053333,0.800000
16596668,43,0010100000000000000000000100001001010000001,16612639,0,0.120000,0.600000
16596740,44,11101001000000000000000000000000001000001011,16599295,0,0.028000,0.700000
16596742,43,0011100000000000000000000000010000000110010,16614497,0,0.160000,0.800000
16596794,43,1000000000000000000000000000000001010001011,16614485,0,0.070000,0.700000
16596795,43,0011100000001000000000000000000000000110010,16612639,0,0.120000,0.600000
16596818,42,011100000000000000000000000000000000010010,16607277,0,0.080000,0.800000
16596843,42,001001000000000000000000000000011000011100,16610836,0,0.040000,0.600000
16596853,43,0111000010000000000000000000000000000100100,16610835,0,0.066667,1.000000
16596857,41,00000000000000000110000000001001000000101,16624255,0,0.040000,0.600000
16596870,43,0100100000000000000000000000010011000000010,16607259,0,0.140000,0.700000
16596873,47,10101110000100000000000000000000000000001000011,16622484,0,0.080000,0.800000
16596884,47,01110010100000000000000000000100000100000101010,16605692,0,0.030000,0.600000
16596890,41,01100000100000000000000000001000000010010,16622478,0,0.046667,0.700000
16596930,40,1000000000000000000000000000001001001000,16607259,0,0.200000,1.000000
16596936,43,0000010000000000000000000000010010000001011,16605692,0,0.030000,0.600000
16596968,41,00000001000000000000000100000100100000011,16629095,0,0.070000,0.700000
16596969,44,10000110000000000000000000000000010100100011,16608992,0,0.014286,0.500000
16596987,48,001110000100000000000000000000000000000101111110,16607279,0,0.080000,0.800000
16596994,40,1110100010000000000000010000000000010010,16624268,0,0.140000,0.700000
16596999,48,010001000000010000000010000000010010100000011110,16589632,0,0.040000,0.600000
16597020,40,0100000000000000000000000000000101000001,16619441,0,0.080000,0.800000
16597035,44,10101010010000000000000000000000000000100100,16600803,0,0.060000,0.600000
16597037,44,10111100011000000000000000000000000000100101,16627620,0,0.100000,1.000000
16597111,45,100010000000000000000000000001100100100000011,16607272,0,0.016000,0.400000
