ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
16587080,47,10011000000010000000000000000000000010000001100,16600164,0,0.053333,0.800000
16587235,44,00000000000000100000000000000000000000100111,16605194,0,0.160000,0.800000
16587270,41,01101000000000100000000000000000000010110,16618330,0,0.100000,0.500000
16587285,45,000100000001000000000000000000001000100000100,16621802,0,0.140000,0.700000
16587357,44,11100000001000101000000001000001001000000000,16594878,0,0.046667,0.700000
16587369,50,11111011010000000010000000000000000000000011000001,16618312,0,0.160000,0.800000
16587398,42,100000001000000000000000000000000101000100,16613667,0,0.140000,0.700000
16587420,43,1100000101001000000000000000001000001100101,16596741,0,0.025000,0.500000
16587436,44,01000010000000000000000000000000001000100000,16586705,0,0.053333,0.800000
16587493,46,0011000000010000000000000000000000000010001101,16610198,0,0.040000,0.800000
16587553,45,001010010000000000110000000000000010000000000,16600164,0,0.040000,0.600000
16587558,38,00100000001000000000000000000001000011,16608630,0,0.100000,0.500000
16587560,43,0100100100100001000000000000000000000001101,16610191,0,0.028000,0.700000
16587568,44,10001000001000000001000000000000000010101000,16618321,0,0.040000,0.600000
16587602,50,00111111100000100000001000000000000000000000101110,16575808,0,0.040000,0.600000
16587616,44,10000000001000000001000000001000000010101000,16608642,0,0.040000,0.600000
16587631,45,110001000001000000000000001000000000010101001,16580165,0,0.120000,0.600000
16587661,46,1111000000011000001000000000000000000001101000,16610191,0,0.024000,0.600000
16587720,45,100100000000000100000000000000000000000000011,16613661,0,0.050000,0.500000
16587724,45,110110000000100000000000000000000000001000110,16594875,0,0.040000,0.600000
16587748,51,011111011110000000010000000000000000000000011000000,16612096,0,0.030000,0.600000
16587753,42,000000000100000000000000000000000010011001,16586693,0,0.080000,0.800000
16587806,47,10011000000010000000000000000000000010000001100,16615251,0,0.160000,0.800000
16587808,53,10001111111000000100000010000000000000000000000000110,16608636,0,0.080000,0.800000
16587813,44,01000000010000000000000010000000001000001010,16580171,0,0.028000,0.700000
16587859,40,0010000010100000000000000000000010000111,16594878,0,0.040000,0.600000
16587874,48,110000000001000000001000000000000000010101000110,16585117,0,0.140000,0.700000
16587880,53,10001111111000000100000010000000000000000000000000110,16594865,0,0.046667,0.700000
16587903,43,0100000000100000000000000000000000100011001,16593276,0,0.046667,0.500000
16587904,52,0001011111000000000000010000000000000000000000000110,16606997,0,0.033333,0.500000
16587959,47,11000000000100000000100000000100000001010100011,16610193,0,0.120000,0.600000
16587988,40,0110000000100000000000000000000000100000,16590125,0,0.080000,0.800000
16588002,43,1010010000010000100000000000000100000000010,16594870,0,0.120000,0.600000
16588012,44,01000000011000001000000010000000001000001010,16606992,0,0.040000,0.600000
16588077,44,01000010010000000000000010000000001000001010,16620032,0,0.040000,0.600000
16588085,48,011111110001000000100001000000100000100000001110,16596735,0,0.033333,0.500000
16588109,44,00100000001000000000000011000000000100000100,16608642,0,0.040000,0.600000
16588143,47,11011000000011000000000000000000000010010001100,16606992,0,0.033333,0.500000
16588147,41,01100000001000000000000000000000001000001,16601672,0,0.035000,0.700000
16588184,47,00110000000000000000001000010000000000011100100,16618333,0,0.040000,0.600000
16588188,45,010000000100000000001000100000000010000010110,16603346,0,0.046667,0.700000
16588194,41,10000000100000000000000000000000010000011,16591680,0,0.080000,0.800000
16588240,50,11111011110010000010000000000000000000000011000000,16586687,0,0.100000,1.000000
16588272,43,0101000000100010000000000000000000100011001,16588500,0,0.040000,0.600000
16588278,44,00000010010000000000000000001000110000100000,16615245,0,0.033333,0.500000
16588309,37,0000000010000000000000000000000010001,16586693,0,0.100000,1.000000
16588322,47,10011000000010000000000000000000000010000001100,16580167,0,0.040000,0.600000
16588335,41,01101000000000100000000000000100000010110,16603345,0,0.053333,0.800000
16588341,44,10000001010000000000000000010000110000001010,16605210,0,0.120000,0.600000
16588368,40,0010000000000000000000000000000000100000,16600161,0,0.040000,0.800000
16588373,38,00100000001000000000000000000001000011,16585119,0,0.033333,0.500000
16588375,44,00000000000000100000000000000000000000100111,16608636,0,0.070000,0.700000
16588430,52,0001111111000000100000010000000000000000000000000110,16585126,0,0.070000,0.700000
16588431,48,011110111100000000100000000000000000000001100000,16600159,0,0.060000,0.600000
16588434,44,01000000010000000000000010000000001000001011,16585126,0,0.070000,0.700000
16588466,52,0001111111100000000000010000000000000001000000000110,16608639,0,0.050000,0.500000
16588480,48,101100000001000000000000000000000001011101110101,16601679,0,0.053333,0.800000
16588517,45,010001000011000010000000000001000000010101000,16585128,0,0.040000,0.600000
16588608,47,10011000000010000000000000000000000010000001100,16610187,0,0.046667,0.800000
16588612,44,00110010110100000000000000000000000100011001,16590122,0,0.040000,0.600000
16588614,40,0110000010100000000000000000000000100000,16620039,0,0.060000,0.600000
16588690,42,000000000100000000000000000000000010010000,16605193,0,0.160000,0.800000
16588722,42,001000001100000000000000000000000000010100,16610184,0,0.028000,0.700000
16588746,40,0000010110000000000000000000010000001010,16618328,0,0.030000,0.500000
16588846,50,11111011110000000010000000000000000000000010100000,16605204,0,0.040000,0.800000
16588876,42,001000001000000000000000000000000000010100,16610195,0,0.025000,0.500000
16588898,45,011100000001000000000000000000000001000000100,16605194,0,0.160000,0.800000
16588920,48,101100000001000000000000000000000001011101110101,16615256,0,0.080000,0.800000
16588930,41,11000000001000100000000010000000001010100,16603346,0,0.033333,0.500000
16588931,40,0010000010100000000000000000000000000111,16590125,0,0.070000,0.700000
16588972,44,01000000010000000000000010000000000000001010,16593261,0,0.040000,0.600000
16588977,40,0110000000100000000000100000000000100001,16585124,0,0.140000,0.600000
16588989,50,11111011110000000010000000000000001000000011000000,16585126,0,0.070000,0.700000
16589006,44,00110010110100000000000000000000000100011001,16588507,0,0.050000,0.500000
16589036,52,0011111011001000000000010000000000000000000000000110,16610182,0,0.120000,0.600000
16589097,42,100000001000000000000000000000000101000100,16588497,0,0.053333,0.800000
16589101,40,0100000000100000000000001000000000000111,16594856,0,0.046667,0.700000
16589104,51,111110111100000000100000000000000000000000111000001,16621803,0,0.040000,0.800000
16589106,40,0110000000100000010000000000000000100011,16606993,0,0.035000,0.700000
16589112,48,110000000001000000001000000001000000010101000110,16598499,0,0.060000,0.600000
16589185,41,10000000100000000000000000000000010000011,16612098,0,0.080000,0.800000
16589268,51,011111011110000000010000000000000000000000011000000,16598496,0,0.070000,0.700000
16589330,46,1011100000010000000000000000000000100010001100,16608631,0,0.160000,0.800000
16589359,51,111111011110000100010010000000000010000000011001000,16615245,0,0.026667,0.400000
16589385,46,1111000000011000001000000000000000000001101000,16608645,0,0.060000,0.600000
16589407,47,01011000000010000000010001000000000001110001100,16605200,0,0.030000,0.600000
16589437,41,01101000000000100000000000000100000010110,16580156,0,0.066667,1.000000
16589467,42,010000000100000000000000000000000010010100,16606992,0,0.040000,0.600000
16589471,43,1010010000010000100000000000000100000000010,16596746,0,0.024000,0.600000
16589473,50,11111011010000000010000000001000000000000011000000,16600167,0,0.060000,0.600000
16589492,47,00000000000100000000110000000000000000000011001,16601671,0,0.040000,0.600000
16589501,48,110000000001000000001000000000000000010101000110,16594880,0,0.120000,0.600000
16589519,38,01100000101000000000000000000000010000,16606986,0,0.024000,0.600000
16589525,44,10000001001000000001000000000000000010101000,16581891,0,0.200000,1.000000
16589578,50,01111101111000000001000000000000000000000011100000,16605206,0,0.070000,0.700000
16589586,51,011111011110000000010000000000000000000000011000000,16583507,0,0.040000,0.600000
16589658,47,01111000100010000000000000000000000010000001100,16590133,0,0.140000,0.700000
16589668,48,110000000001000000001000000000000000010101000111,16603351,0,0.070000,0.700000
16589669,39,000000000000000000000000000000000010111,16618329,0,0.070000,0.700000
16589674,40,0000000010000100000000000000000000010111,16590133,0,0.140000,0.700000
16589697,46,1011000000011000000000000000000000000010011100,16610188,0,0.070000,0.700000
16589704,42,110110000100001000000000000000000000000101,16581889,0,0.033333,0.700000
16589712,46,1011000100010001001000000000001000000110001100,16588506,0,0.050000,0.500000
16589738,41,01100000001010000000000001000000001000010,16600162,0,0.120000,0.600000
16589740,45,000100000001000000000000001100000000000000100,16603352,0,0.030000,0.600000
16589760,45,110110000000100000000000000100000000001001100,16585126,0,0.100000,1.000000
16589769,46,1011000000011000000100000000000000000010011100,16601683,0,0.050000,0.500000
16589782,42,000000000100000000000000000000000010010000,16594878,0,0.046667,0.700000
16589783,44,10001000011000000000000000010000100010101000,16600162,0,0.120000,0.600000
16589786,40,1100000001000010000000000000000000001011,16613666,0,0.025000,0.700000
16589789,39,000000010000100000000000010000010010011,16585131,0,0.030000,0.600000
16589794,36,010000000110010101000000000000000100,16603354,0,0.025000,0.500000
16589812,46,1011000000010000000000000000001000000010001100,16596750,0,0.025000,0.500000
16589842,45,010001000011000010000000000001000000010101000,16594865,0,0.033333,0.500000
16589870,45,010100000001000000000000100000000000001000110,16580167,0,0.040000,0.600000
16589892,50,11110101111000000001000000000000000000000001100000,16598502,0,0.040000,0.800000
16589924,44,11100000001000001000000001000001001000000000,16585131,0,0.030000,0.600000
16589941,45,001000000010000001000000010000000001000001010,16608641,0,0.140000,0.700000
16589957,43,1011000000000001000000000000000000000011110,16608634,0,0.035000,0.700000
16589961,42,100000001000000000000000000000000101000100,16593271,0,0.140000,0.700000
16589970,51,111110111100000000100000000000000000000000110000000,16608628,0,0.160000,0.800000
16589979,52,0001111111000000000000010000000001100000000000000110,16608638,0,0.060000,0.600000
16589980,48,110000000001000000001000000000000000010101000110,16588501,0,0.060000,0.600000
16589996,45,010100000101000000000000000000000000000110100,16618315,0,0.046667,0.700000
16590001,42,100000001000000000000000000000000101000110,16610180,0,0.053333,0.800000
16590004,41,00000101100000000000000000000000000010100,16601684,0,0.060000,0.600000
16590034,42,001100000001100000000000000010000001000001,16588497,0,0.040000,0.600000
16590048,44,10000000001000000001000000000000000010101000,16593275,0,0.140000,0.700000
16590061,46,1110000000100000000000000000000001001001110001,16620047,0,0.070000,0.700000
16590064,48,001111110000000000000100000000000000000000001110,16603351,0,0.070000,0.700000
16590074,45,110001000001000000000000000000000100010101000,16613662,0,0.070000,0.700000
16590078,40,1010000010000000000000000000000000001001,16588501,0,0.080000,0.800000
16590090,48,001111110000000000000100000000000000000000001110,16596747,0,0.020000,0.600000
16590107,40,0110000000100000000000000000000100110001,16605209,0,0.120000,0.600000
16590116,43,1010010000010000100000000000000000000000010,16601685,0,0.080000,0.800000
16590117,44,10000000001000000000000000000000000010011011,16601680,0,0.040000,0.800000
16590152,42,000000000100000000000000000000000010010000,16615249,0,0.024000,0.600000
16590180,44,10000000001000000000000000000000000010101000,16616830,0,0.032000,0.800000
16590184,46,1011000000010000000000000000001000000010001100,16615255,0,0.035000,0.700000
16590187,48,111110111000000000100000000000000000000001000000,16594872,0,0.046667,0.700000
16590188,44,10100000011000000000000001000000000100000100,16586693,0,0.060000,0.600000
16590193,48,001111110000000000000100000000000000000000001110,16621813,0,0.160000,0.800000
16590228,41,10110000000100000000000000000000000100001,16603346,0,0.060000,0.600000
16590311,41,11000000010000000000000000000000000001011,16594854,0,0.035000,0.700000
16590326,42,001000000010000000000001000000000100011010,16596750,0,0.025000,0.500000
16590341,47,01011000000010000000000000000000000100000011001,16598494,0,0.030000,0.600000
16590352,41,10000000100000000000000000001000010000011,16618312,0,0.140000,0.700000
16590386,47,10011000000011000000000000000000000010000001100,16594868,0,0.035000,0.700000
16590390,45,100000000011000000010001000000000100101010001,16613669,0,0.060000,0.600000
16590392,44,01000010000000000000000000000000001000110010,16613669,0,0.050000,0.500000
16590426,48,101100000001000000000100000000000001011101110001,16605194,0,0.140000,0.700000
16590441,48,001111110000000000000100000000000000000000001110,16603349,0,0.070000,0.700000
16590450,46,0011000000010000000000000000000000000010011101,16594867,0,0.040000,0.600000
16590452,50,11111011110000000010000000100000001000000011000000,16594867,0,0.046667,0.700000
16590462,40,0000010110000000000000000000000000001010,16608629,0,0.040000,0.600000
16590463,45,011010010010000000000000010000000000100011000,16590134,0,0.120000,0.600000
16590467,44,11010010000000000100000000000000000000000010,16594869,0,0.040000,0.600000
16590479,50,11111111110000000010000000000000000000000011000000,16601683,0,0.060000,0.600000
