ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
21545614,54,001101110111000110110111011110100100111100111110011001,21558275,0,0.080000,0.400000
21545676,53,00111110111000110110111010110101100110101111100110001,21546973,0,0.040000,0.400000
21545721,53,00111110110000111110101010110101100110101111110100001,21553481,0,0.080000,0.400000
21545724,50,11011101100011011011101011010011011011111100010111,21554754,0,0.020000,0.300000
21545730,57,111001101100101001111001001001101111100101100010010110100,21557008,0,0.033333,0.500000
21545789,55,1110011011010100111100101100110111110010110001001011010,21550218,0,0.060000,0.300000
21545843,56,11001100100101001111001001011101111100101100010000110110,21542110,0,0.200000,1.000000
21545851,53,00111110111000111110101010110101100110101111110100001,21554753,0,0.026667,0.400000
21545890,58,0101001101100101001111001001001101111100101100010010110100,21543660,0,0.066667,1.000000
21545955,55,0000111101111000110110111010110100100110101111110110001,21544158,0,0.200000,1.000000
21545981,56,11001101100101001111000001011101111100101100010010100110,21544781,0,0.026667,0.800000
21546011,52,0011111011100011001011101011010010011010111101011000,21555234,0,0.080000,0.400000
21546028,55,0000111110111000110110111010110100100110101111110110001,21544786,0,0.200000,1.000000
21546057,54,000111101110001111101110101101011001100011110001000010,21551488,0,0.040000,0.400000
21546064,58,0110011000001110011111010010011011111001011000100101101100,21553484,0,0.050000,0.500000
21546075,57,110011011001010011110010010111011111001011000100101101100,21552721,0,0.120000,0.600000
21546102,54,110111110001000110110110010110000110110111111110110000,21551491,0,0.050000,0.500000
21546147,54,001101110111000110110011011110100100111101111110011001,21544786,0,0.100000,0.500000
21546156,59,11110011001110111001111001000010101111100011000101111101001,21552116,0,0.060000,0.300000
21546179,53,10011111111110001101100110101101010010010111111011000,21543664,0,0.040000,0.400000
21546185,55,0000101110111000110110111010110100100110101111110110001,21549669,0,0.080000,0.400000
21546187,51,011111001101111011011101011010011011011111111001001,21544786,0,0.100000,0.500000
21546235,56,11001101100101001111001001011101111110101100010010110110,21550851,0,0.060000,0.300000
21546306,58,1110011001110111001111001000010101111100011000101111101001,21554754,0,0.033333,0.500000
21546348,56,10001101100101001111001001011101111100101100010010110110,21552714,0,0.030000,0.300000
21546352,50,01111110110001101101110101101001101101111011100100,21552112,0,0.080000,0.400000
21546355,52,0011111011100011001011101011010010011010111101011000,21551491,0,0.060000,0.700000
21546405,54,101111110111000110110111010110110100110101111110110001,21546975,0,0.024000,0.600000
21546426,55,1101111000011000110110111010110100110110111111110111000,21555775,0,0.080000,0.400000
21546442,56,10000101100101001111001001011101111100101100010010110110,21546128,0,0.060000,0.300000
21546448,52,0011111011100011001011101011010010011010111101011000,21553480,0,0.060000,0.600000
21546459,51,011111100100011011011100011010011010011111111011000,21553480,0,0.060000,0.600000
21546462,51,011111001101011011011101011010011011011111111001001,21552715,0,0.100000,0.500000
21546467,54,001111111110001101101110101101111001101011111111000010,21542110,0,0.080000,0.400000
21546488,53,00111110111000110110111010110101100110100111110100011,21552714,0,0.060000,0.600000
21546498,56,11001101100101001111101001011101111100101100010010110110,21553481,0,0.120000,0.600000
21546547,54,101111111111000110110111010110110100111101111110110001,21552117,0,0.080000,0.400000
21546558,54,000101110110011110010010101010111001011110111111101111,21551486,0,0.080000,0.400000
21546563,57,110011011001010011110010010011011110001011000100101101100,21551486,0,0.080000,0.400000
21546569,54,101111110111000110110101010110110100110101111110110001,21552717,0,0.060000,0.600000
21546571,55,0000111101111000110110111010110100100110101111110110001,21544158,0,0.200000,1.000000
21546576,55,1000111110111000110110111010110100100110101111110110001,21544158,0,0.200000,1.000000
21546600,58,0011100011110100111100100101010111110010110011011101011000,21544781,0,0.020000,0.600000
21546619,51,011111001001111011011100011010010011011111111001001,21546976,0,0.080000,0.400000
21546627,56,10000111110111000110110111010110101110110101111110110001,21543660,0,0.040000,0.500000
21546630,55,1001111101110001101101110101101010001101001111101000010,21553485,0,0.120000,0.600000
21546638,58,0011100011110100111100100101010111110010110011011101011000,21553485,0,0.060000,0.300000
21546675,56,11001101100110011100010010011011111001011000100101101100,21546978,0,0.026667,0.400000
21546678,54,101111111111000110110111010110110100111101111110110001,21551490,0,0.120000,0.600000
21546682,53,00011111011100111011011101011010010011010111110110001,21550218,0,0.120000,0.600000
21546683,56,10000111110111001110110111010110101100110101111110110001,21544788,0,0.100000,1.000000
21546684,57,111001101100101001111001001001101111100101100010010110100,21556322,0,0.060000,0.600000
21546691,56,10001100100101001111001001011101111100111100010011110110,21544788,0,0.100000,1.000000
21546693,52,0011111011100011001011101011010010011010111101011000,21544788,0,0.100000,1.000000
21546732,50,01111110110001101101110101101001101101111111101100,21544791,0,0.066667,1.000000
