ID,genomeSize,genome
16816508,30,001011011110101010001101110110
16817429,30,001011010110101011001101110010
16817887,30,001011010110101011010101110111
16817892,30,001011010110101010001101110110
16817893,30,001011010110101011001111110111
16818398,30,001011010110101011001101110010
16818402,30,001011010110101011001101110110
16818904,30,001011011110101010001101110110
16818907,30,001011010110101011010101110111
16819453,30,001011010110101011001101110010
16819454,30,001010000110101011001100111111
16819919,30,001011010110101011001101100110
16820361,30,001011010110101011001101110010
16820364,30,001011010110101011001101110110
16820365,30,001011010110101011001101110110
16820854,30,001011010110101001010101110111
16820856,30,001011010110101011001101110010
16820857,30,001011010110101001010101110111
16820861,30,001011010110101011001101110110
16820863,30,001011010110101011001101110110
16820865,30,001010000110101011001100111111
16821493,30,001011010110101011001101110110
16821495,30,001011010110101011001101110110
16821498,30,001011010110101011001101110110
16822094,30,001011010110101010001101100110
16822097,30,001011010110101011001101100110
16822098,30,001011010110101011001101100110
16822661,30,001011010110101011001101110110
16822663,30,001011010110101011010101110111
16822664,30,001011010110101011001101110110
16823113,30,001011010110101011001101110010
16823115,30,001011010110101011001101110110
16823117,30,001011010110101011001101110010
16823118,30,001011010110101010001101110110
16823661,30,001011010110101011001101110010
16823662,30,001011010110101011001101110110
16823664,30,001011010110101011001101110010
16823665,30,001011010110101010001101110110
16823666,30,001011010110101011010101110111
16823667,30,001011010110101011001111110111
16824213,30,001011010110101010001101110110
16824214,30,001011010110101011001101110110
16824215,30,001011010110101010001101110110
16824216,30,001011010110101011001101110110
16824734,30,001011010110101010001101110110
16824735,30,001011011110101010001101110110
16824736,30,001011010110101011001101100110
16824737,30,001011010110101011001101110010
16824738,30,001011010110101011010101110111
16824739,30,001011010110101011001101110010
16824740,30,001011010110101011001101110110
16824741,30,001011010110101011001101110010
16824742,30,001011010110101011001101110110
16825256,30,001011010110101011001101110010
16825257,30,001011011110101010001101110110
16825258,30,001011010110101001010101110111
16825259,30,001011011110101010001101110110
16825260,30,001011011110101010001101110110
16825798,30,001011010110101011001101110010
16825799,30,001011011110101010001101110110
16825800,30,001011010110101011001101110010
16825801,30,001011010110101010001101110110
16825802,30,001011010110101011010101110111
16825803,30,001010000110101011001100111111
16826284,30,001011010110101011001101110010
16826285,30,001011010110101011001101110010
16826286,30,001011010110101011001101110110
16826287,30,001011010110101011001101110110
16826288,30,001011010110101011001111110111
16826720,30,001011010110101010001101110110
16826721,30,001011010110101011001101110110
16826722,30,001011010110101011001101110110
16826723,30,001011010110101011001101100110
16826724,30,001011010110101011001101110110
16827263,30,001011010110101011001111110111
16827264,30,001011010110101011001101100110
16827265,30,001011010110101011001101110110
16827266,30,001011010110101011001101110110
16827267,30,001011010110101011001101110110
16827712,30,001011010110101011001101100110
16827713,30,001011010110101011001101110010
16827714,30,001011010110101011001101110110
16827715,30,001010000110101011001100111111
16827716,30,001011010110101011001101110110
16827717,30,001011010110101011001101110110
16827718,30,001011010110101011001101100110
16827719,30,001011010110101011001101110110
16827720,30,001011010110101011001101110010
16828297,30,001011011110101010001101110110
16828298,30,001011010110101011001101110110
16828299,30,001011010110101011001101110110
16828300,30,001011010110101001010101110111
16828301,30,001011010110101001010101110111
16828302,30,001011010110101011001101110110
16828303,30,001011010110101010001101100110
16828304,30,001011010110101011001101100110
16828305,30,001011010110101011001101100110
16828974,30,001011010110101001010101110111
16828975,30,001011011110101010001101110110
16828976,30,001011010110101011001101110110
16828977,30,001011010110101011001101110110
16828978,30,001011010110101011001101110010
16829507,30,001011010110101010001101100110
16829508,30,001011010110101011001101110110
16829509,30,001011010110101011001101110110
16829510,30,001011010110101011001101110010
16829511,30,001011010110101010001101110110
16829512,30,001011010110101011010101110111
16829976,30,001011010110101011001101110110
16829977,30,001011010110101011001111110111
16829978,30,001011010110101011001101110010
16829979,30,001011010110101011001101110110
16829980,30,001011010110101011001101100110
16829981,30,001011010110101011001101110110
16830497,30,001011010110101011001101110110
16830498,30,001011010110101010001101110110
16830499,30,001011010110101011001111110111
16830500,30,001011010110101011001101110110
16830975,30,001011010110101011010101110111
16830976,30,001011010110101011001101110010
16830977,30,001011010110101011010101110111
16830978,30,001011010110101011001101110110
16830979,30,001011010110101010001101110110
16830980,30,001011011110101010001101110110
16830981,30,001011010110101011001101110010
16830982,30,001011010110101011001101110110
16830983,30,001011011110101010001101110110
16830984,30,001011011110101010001101110110

